trajectory,g0,g1,sites,scaled_time,time,magnetization_z,magnetization_y,normalized_z,normalized_y
across,0.3,1.4,12,3.35,13.353256191427786,0.04037777934241747,-0.02204322439716689,0.8777220627703883,-0.4791700956091631
across,0.3,1.4,12,3.3666666666666667,13.419690301832897,0.03852763365413521,-0.017745959014696402,0.908282263127311,-0.41835789760482617
across,0.3,1.4,12,3.3833333333333333,13.486124412238011,0.03707221535765247,-0.01359323084066483,0.9388756183980842,-0.34425655139389155
across,0.3,1.4,12,3.4,13.552558522643125,0.03598839524661732,-0.00978303728558997,0.9649811617988157,-0.2623191898687698
across,0.3,1.4,12,3.4166666666666665,13.618992633048236,0.03523758114966089,-0.006449269054597752,0.9836607507339649,-0.1800320178898546
across,0.3,1.4,12,3.433333333333333,13.68542674345335,0.03477173874855897,-0.0036616580982456173,0.9945010598388864,-0.10472651039412925
across,0.3,1.4,12,3.4499999999999997,13.751860853858464,0.03453909941983123,-0.0014323431995160688,0.9991412189749268,-0.04143458151468863
across,0.3,1.4,12,3.466666666666667,13.818294964263579,0.034489009397668455,0.0002725396285386455,0.9999687789472301,0.007901970057248
across,0.3,1.4,12,3.4833333333333334,13.88472907466869,0.034575544259194305,0.0015182527943293036,0.9990372963143062,0.04386890211757241
across,0.3,1.4,12,3.5,13.951163185073804,0.03475970831601832,0.0023859862684568406,0.9976524101584814,0.06848115437821597
across,0.3,1.4,12,3.5166666666666666,14.017597295478918,0.03501023382966525,0.0029585298925365123,0.9964484862910591,0.08420459707318227
across,0.3,1.4,12,3.533333333333333,14.084031405884032,0.03530316619481798,0.0033087270950043117,0.9956367018108275,0.09331429690705108
across,0.3,1.4,12,3.55,14.150465516289144,0.035620549540938885,0.0034918094344892382,0.9952296138439671,0.09756031840860387
across,0.3,1.4,12,3.5666666666666664,14.216899626694257,0.035948600739083875,0.00354208669603644,0.9951807871934617,0.09805713029148808
across,0.3,1.4,12,3.5833333333333335,14.283333737099372,0.036275774560644646,0.003473842001020311,0.9954461130914911,0.09532594573903938
across,0.3,1.4,12,3.6,14.349767847504484,0.03659108239816982,0.0032857338301904623,0.9959925555304833,0.08943617460433599
across,0.3,1.4,12,3.6166666666666667,14.416201957909598,0.036882941798716366,0.002967599214128387,0.9967787311614312,0.08020075501020643
across,0.3,1.4,12,3.6333333333333333,14.482636068314712,0.03713871913419966,0.002508324474596921,0.9977269923653809,0.06738581976596732
