quench,g0,g1,sites,correlation_distance,scaled_time,time,phase_shift_scaled,sigma_z_correlation,spin_z_correlation,absolute_spin_z_correlation,cluster_magnetization
g0_0.8_g1_1.6,0.8,1.6,256,48,1.7,7.115788417407817,-0.06666666666666665,0.026102138706237277,0.006525534676559319,0.006525534676559319,0.08078078160403822
g0_0.8_g1_1.6,0.8,1.6,256,48,1.7166666666666666,7.188398503299734,-0.06666666666666665,0.028411324126457273,0.007102831031614318,0.007102831031614318,0.08427829513946232
g0_0.8_g1_1.6,0.8,1.6,256,48,1.7333333333333334,7.2610085891916505,-0.06666666666666665,0.030577886922725582,0.0076444717306813955,0.0076444717306813955,0.08743266969892545
g0_0.8_g1_1.6,0.8,1.6,256,48,1.75,7.333618675083566,-0.06666666666666665,0.03257575566415737,0.008143938916039343,0.008143938916039343,0.0902437749434239
g0_0.8_g1_1.6,0.8,1.6,256,48,1.7666666666666666,7.406228760975483,-0.06666666666666665,0.03438220108355739,0.008595550270889348,0.008595550270889348,0.09271219051931276
g0_0.8_g1_1.6,0.8,1.6,256,48,1.7833333333333332,7.478838846867399,-0.06666666666666665,0.035977997143302215,0.008994499285825554,0.008994499285825554,0.09483933406464616
g0_0.8_g1_1.6,0.8,1.6,256,48,1.8,7.551448932759317,-0.06666666666666665,0.03734758204841293,0.009336895512103233,0.009336895512103233,0.0966276125758224
g0_0.8_g1_1.6,0.8,1.6,256,48,1.8166666666666667,7.6240590186512325,-0.06666666666666665,0.03847919221053826,0.009619798052634566,0.009619798052634566,0.09808056919000097
g0_0.8_g1_1.6,0.8,1.6,256,48,1.8333333333333333,7.696669104543149,-0.06666666666666665,0.03936493877555635,0.009841234693889088,0.009841234693889088,0.09920299740375332
g0_0.8_g1_1.6,0.8,1.6,256,48,1.8499999999999999,7.769279190435065,-0.06666666666666665,0.04000079948171651,0.010000199870429128,0.010000199870429128,0.10000099934715216
g0_0.8_g1_1.6,0.8,1.6,256,48,1.8666666666666667,7.841889276326983,-0.06666666666666665,0.04038650771887494,0.010096626929718735,0.010096626929718735,0.10048197315796867
g0_0.8_g1_1.6,0.8,1.6,256,48,1.8833333333333333,7.914499362218899,-0.06666666666666665,0.040525333861827974,0.010131333465456993,0.010131333465456993,0.10065452531037536
g0_0.8_g1_1.6,0.8,1.6,256,48,1.9,7.9871094481108145,-0.06666666666666665,0.04042376857331657,0.010105942143329142,0.010105942143329142,0.10052831513225088
g0_0.8_g1_1.6,0.8,1.6,256,48,1.9166666666666665,8.059719534002731,-0.06666666666666665,0.040091130908361416,0.010022782727090354,0.010022782727090354,0.10011384882767396
g0_0.8_g1_1.6,0.8,1.6,256,48,1.9333333333333333,8.132329619894648,-0.06666666666666665,0.03953913319369863,0.009884783298424658,0.009884783298424658,0.09942224750238077
g0_0.8_g1_1.6,0.8,1.6,256,48,1.95,8.204939705786565,-0.06666666666666665,0.038781438205336076,0.009695359551334019,0.009695359551334019,0.09846501689094467
g0_0.8_g1_1.6,0.8,1.6,256,48,1.9666666666666666,8.277549791678481,-0.06666666666666665,0.03783324171222044,0.00945831042805511,0.00945831042805511,0.09725384531243539
g0_0.8_g1_1.6,0.8,1.6,256,48,1.9833333333333334,8.350159877570398,-0.06666666666666665,0.03671090577791284,0.00917772644447821,0.00917772644447821,0.09580045117053577
g0_0.8_g1_1.6,0.8,1.6,256,48,2.0,8.422769963462315,-0.06666666666666665,0.035431657049938156,0.008857914262484539,0.008857914262484539,0.09411649304178593
g0_0.8_g1_1.6,0.8,1.6,256,48,2.0166666666666666,8.49538004935423,-0.06666666666666665,0.03401335189056082,0.008503337972640204,0.008503337972640204,0.09221354549435894
g0_0.8_g1_1.6,0.8,1.6,256,48,2.033333333333333,8.567990135246147,-0.06666666666666665,0.032474298941291745,0.008118574735322936,0.008118574735322936,0.09010313388180756
g0_0.8_g1_1.6,0.8,1.6,256,48,2.05,8.640600221138063,-0.06666666666666665,0.030833121503487753,0.007708280375871938,0.007708280375871938,0.08779681301660065
g0_0.8_g1_1.6,0.8,1.6,256,48,2.0666666666666664,8.71321030702998,-0.06666666666666665,0.02910863817339881,0.007277159543349702,0.007277159543349702,0.08530626907414075
g0_0.8_g1_1.6,0.8,1.6,256,48,2.083333333333333,8.785820392921897,-0.06666666666666665,0.027319740815800325,0.006829935203950081,0.006829935203950081,0.08264342202468435
g0_0.8_g1_1.6,0.8,1.6,256,48,2.0999999999999996,8.858430478813812,-0.06666666666666665,0.02548525363999444,0.00637131340999861,0.00637131340999861,0.07982050745265035
g0_0.8_g1_1.6,0.8,1.6,256,48,2.1166666666666663,8.931040564705729,-0.06666666666666665,0.023623764593108082,0.0059059411482770205,0.0059059411482770205,0.07685012132896747
g0_0.8_g1_1.6,0.8,1.6,256,48,2.133333333333333,9.003650650597645,-0.06666666666666665,0.021753428833241373,0.005438357208310343,0.005438357208310343,0.07374521820640538
g0_0.8_g1_1.6,0.8,1.6,256,48,2.1500000000000004,9.076260736489564,-0.06666666666666665,0.019891751955241666,0.0049729379888104165,0.0049729379888104165,0.07051906117363174
g0_0.8_g1_1.6,0.8,1.6,256,48,2.166666666666667,9.148870822381479,-0.06666666666666665,0.018055366462493283,0.004513841615623321,0.004513841615623321,0.06718512942328325
g0_0.8_g1_1.6,0.8,1.6,256,48,2.1833333333333336,9.221480908273396,-0.06666666666666665,0.01625981780053262,0.004064954450133155,0.004064954450133155,0.06375699530352065
g0_0.8_g1_1.6,0.8,1.6,256,48,2.2,9.294090994165312,-0.06666666666666665,0.01451937585777873,0.0036298439644446823,0.0036298439644446823,0.060248186399631004
g0_0.8_g1_1.6,0.8,1.6,256,48,2.216666666666667,9.36670108005723,-0.06666666666666665,0.01284688461587773,0.0032117211539694325,0.0032117211539694325,0.05667204914214266
g0_0.8_g1_1.6,0.8,1.6,256,48,2.2333333333333334,9.439311165949144,-0.06666666666666665,0.01125365751931509,0.0028134143798287724,0.0028134143798287724,0.05304162874411732
g0_0.8_g1_1.6,0.8,1.6,256,48,2.25,9.511921251841061,-0.06666666666666665,0.009749420311531165,0.0024373550778827914,0.0024373550778827914,0.049369576440180155
g0_0.8_g1_1.6,0.8,1.6,256,48,2.2666666666666666,9.58453133773298,-0.06666666666666665,0.008342297721602412,0.002085574430400603,0.002085574430400603,0.04566808984838979
g0_0.8_g1_1.6,0.8,1.6,256,48,2.283333333333333,9.657141423624894,-0.06666666666666665,0.007038836403212112,0.001759709100803028,0.001759709100803028,0.04194888676476442
