scaled_time,time,work_density,rate,mean_work_density
1.0625,2.4879552172435906,0.27,0.05542137681196649,0.13030270868140287
1.0625,2.4879552172435906,0.275,0.059067573394969264,0.13030270868140287
1.0625,2.4879552172435906,0.28,0.06280675377647432,0.13030270868140287
1.0625,2.4879552172435906,0.28500000000000003,0.0666372680252088,0.13030270868140287
1.0625,2.4879552172435906,0.29,0.07055752812308064,0.13030270868140287
1.0625,2.4879552172435906,0.295,0.0745660064377458,0.13030270868140287
1.0625,2.4879552172435906,0.3,0.07866123416526072,0.13030270868140287
1.075,2.5172252786229268,0.0,0.099726037737827,0.13160773865322348
1.075,2.5172252786229268,0.005,0.08545318071612251,0.13160773865322348
1.075,2.5172252786229268,0.01,0.07541841614957645,0.13160773865322348
1.075,2.5172252786229268,0.015,0.06697956336405136,0.13160773865322348
1.075,2.5172252786229268,0.02,0.0595939883411552,0.13160773865322348
1.075,2.5172252786229268,0.025,0.05300638753354147,0.13160773865322348
1.075,2.5172252786229268,0.03,0.04706736430099536,0.13160773865322348
1.075,2.5172252786229268,0.035,0.041678710303701925,0.13160773865322348
1.075,2.5172252786229268,0.04,0.03677092601754136,0.13160773865322348
1.075,2.5172252786229268,0.045,0.03229223697814794,0.13160773865322348
1.075,2.5172252786229268,0.05,0.028202578325549656,0.13160773865322348
1.075,2.5172252786229268,0.055,0.024470019955882265,0.13160773865322348
1.075,2.5172252786229268,0.06,0.021068506846842236,0.13160773865322348
1.075,2.5172252786229268,0.065,0.017976359836831324,0.13160773865322348
1.075,2.5172252786229268,0.07,0.015175241285256026,0.13160773865322348
1.075,2.5172252786229268,0.075,0.012649418077394184,0.13160773865322348
1.075,2.5172252786229268,0.08,0.010385222104231227,0.13160773865322348
1.075,2.5172252786229268,0.085,0.008370646138479952,0.13160773865322348
1.075,2.5172252786229268,0.09,0.006595035129175388,0.13160773865322348
1.075,2.5172252786229268,0.095,0.0050488463781948704,0.13160773865322348
1.075,2.5172252786229268,0.1,0.003723460515333954,0.13160773865322348
1.075,2.5172252786229268,0.105,0.0026110306618947546,0.13160773865322348
1.075,2.5172252786229268,0.11,0.0017043608074669668,0.13160773865322348
1.075,2.5172252786229268,0.115,0.0009968068923115504,0.13160773865322348
1.075,2.5172252786229268,0.12,0.00048219579584419213,0.13160773865322348
1.075,2.5172252786229268,0.125,0.00015475863410311253,0.13160773865322348
1.075,2.5172252786229268,0.13,9.075628065466704e-06,0.13160773865322348
1.075,2.5172252786229268,0.135,4.003042635755379e-05,0.13160773865322348
1.075,2.5172252786229268,0.14,0.00024277222115734378,0.13160773865322348
1.075,2.5172252786229268,0.145,0.0006126843332016456,0.13160773865322348
1.075,2.5172252786229268,0.15,0.0011453581942737281,0.13160773865322348
1.075,2.5172252786229268,0.155,0.0018365718469759498,0.13160773865322348
1.075,2.5172252786229268,0.16,0.002682272228847416,0.13160773865322348
1.075,2.5172252786229268,0.165,0.0036785606231277343,0.13160773865322348
1.075,2.5172252786229268,0.17,0.004821680750486092,0.13160773865322348
1.075,2.5172252786229268,0.17500000000000002,0.006108009051200847,0.13160773865322348
1.075,2.5172252786229268,0.18,0.007534046770135298,0.13160773865322348
1.075,2.5172252786229268,0.185,0.009096413510640264,0.13160773865322348
1.075,2.5172252786229268,0.19,0.010791841970426999,0.13160773865322348
1.075,2.5172252786229268,0.195,0.012617173614013745,0.13160773865322348
1.075,2.5172252786229268,0.2,0.014569355073467793,0.13160773865322348
1.075,2.5172252786229268,0.20500000000000002,0.016645435102496664,0.13160773865322348
1.075,2.5172252786229268,0.21,0.018842561938798658,0.13160773865322348
1.075,2.5172252786229268,0.215,0.021157980956196212,0.13160773865322348
1.075,2.5172252786229268,0.22,0.023589032511620395,0.13160773865322348
1.075,2.5172252786229268,0.225,0.026133149912565184,0.13160773865322348
1.075,2.5172252786229268,0.23,0.028787857448379126,0.13160773865322348
1.075,2.5172252786229268,0.23500000000000001,0.03155076844380432,0.13160773865322348
1.075,2.5172252786229268,0.24,0.0344195833057689,0.13160773865322348
1.075,2.5172252786229268,0.245,0.037392087544713334,0.13160773865322348
1.075,2.5172252786229268,0.25,0.0404661497599965,0.13160773865322348
1.075,2.5172252786229268,0.255,0.04363971958536261,0.13160773865322348
1.075,2.5172252786229268,0.26,0.046910825595344485,0.13160773865322348
1.075,2.5172252786229268,0.265,0.050277573177013035,0.13160773865322348
1.075,2.5172252786229268,0.27,0.05373814237394833,0.13160773865322348
1.075,2.5172252786229268,0.275,0.05729078571085419,0.13160773865322348
1.075,2.5172252786229268,0.28,0.06093382600805439,0.13160773865322348
1.075,2.5172252786229268,0.28500000000000003,0.0646656541953877,0.13160773865322348
1.075,2.5172252786229268,0.29,0.06848472713487375,0.13160773865322348
1.075,2.5172252786229268,0.295,0.07238956546105876,0.13160773865322348
1.075,2.5172252786229268,0.3,0.07637875144728781,0.13160773865322348
1.0875000000000001,2.5464953400022634,0.0,0.10230247715547804,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.005,0.08784804412747624,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.01,0.07764271093396967,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.015,0.06904535583099974,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.02,0.061511156798802494,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.025,0.054783507353876125,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.03,0.048712136792094816,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.035,0.043198197249066164,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.04,0.038171689233736726,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.045,0.03358042579901472,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.05,0.029383985979135586,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.055,0.025550120109852865,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.06,0.022052476869731198,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.065,0.01886909483088265,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.07,0.01598136155273009,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.075,0.01337327186482802,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.08,0.011030884971241807,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.085,0.00894191798426925,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.09,0.00709543570594422,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.095,0.005481609982419679,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.1,0.004091530448652802,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.105,0.0029170539763091197,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.11,0.0019506837838412887,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.115,0.0011854716397587586,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.12,0.0006149382982373521,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.125,0.00023300850639739,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.13,3.3957778638250054e-05,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.135,1.2368752697612152e-05,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.14,0.0001630953963990987,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.145,0.0004812336722696802,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.15,0.0009620975231756472,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.155,0.0016011992394955737,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.16,0.0023942334237564387,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.165,0.0033370638938231972,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.17,0.0044257129688532945,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.17500000000000002,0.005656352668977682,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.18,0.007025297433954247,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.185,0.008528998030417276,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.19,0.010164036373577108,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.195,0.011927121038409032,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.2,0.013815083278296142,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.20500000000000002,0.01582487340629274,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.21,0.017953557426123617,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.215,0.020198313827109335,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.22,0.022556430479841003,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.225,0.025025301588031026,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.23,0.027602424666946096,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.23500000000000001,0.03028539753066241,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.24,0.033071915279474826,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.245,0.03595976728556019,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.25,0.038946834179847234,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.255,0.04203108484632016,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.26,0.04521057343200845,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.265,0.04848343638196717,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.27,0.05184788950886776,0.1331123824635717
