chi_over_J,state,alpha,k_over_k1,probability
1.0,ground,0,-0.77,0.0007016874640705961
1.0,ground,0,-0.7675000000000001,0.006466526971366876
1.0,ground,0,-0.7649999999999999,0.014905170895401618
1.0,ground,0,-0.7625,0.014093364037899972
1.0,ground,0,-0.76,0.005323464583746559
1.0,ground,0,-0.7575000000000001,0.0004105660836956583
1.0,ground,0,-0.7549999999999999,4.742039523088385e-05
1.0,ground,0,-0.7525,4.039807282758438e-05
1.0,ground,0,-0.75,3.890387828938968e-06
1.0,ground,0,-0.7475,1.0526758656090378e-05
1.0,ground,0,-0.7449999999999999,4.100799636014599e-07
1.0,ground,0,-0.7424999999999999,3.922976516197375e-06
1.0,ground,0,-0.74,1.702245760230506e-08
1.0,ground,0,-0.7375,1.7408483196342928e-06
1.0,ground,0,-0.7349999999999999,9.902408159957968e-09
1.0,ground,0,-0.7324999999999999,8.469544934859866e-07
1.0,ground,0,-0.73,4.242741540674831e-08
1.0,ground,0,-0.7275,4.3103597388014773e-07
1.0,ground,0,-0.7249999999999999,6.454754107698058e-08
1.0,ground,0,-0.7224999999999999,2.2212374040117634e-07
1.0,ground,0,-0.72,7.334143886803944e-08
1.0,ground,0,-0.7175,1.1266502962399348e-07
1.0,ground,0,-0.7150000000000001,7.276487594018522e-08
1.0,ground,0,-0.7124999999999999,5.45557367629343e-08
1.0,ground,0,-0.71,6.669585351908336e-08
