gamma_initial_prime,a_minus,role,provenance
0.5509725,7.23100331896672,curve,supplement_eq_11
0.560972,7.2812882995501225,curve,supplement_eq_11
0.5709715,7.328355615329916,curve,supplement_eq_11
0.580971,7.372298456416158,curve,supplement_eq_11
0.5909705,7.413209436969434,curve,supplement_eq_11
0.60097,7.451180424960302,curve,supplement_eq_11
0.6109694999999999,7.486302387512408,curve,supplement_eq_11
0.620969,7.518665251143873,curve,supplement_eq_11
0.6309684999999999,7.548357776201598,curve,supplement_eq_11
0.640968,7.57546744477063,curve,supplement_eq_11
0.6509675,7.600080361335351,curve,supplement_eq_11
0.660967,7.6222811654696505,curve,supplement_eq_11
0.6709665,7.642152955838922,curve,supplement_eq_11
0.680966,7.6597772248070575,curve,supplement_eq_11
0.6909655,7.675233802955653,curve,supplement_eq_11
0.700965,7.688600812840025,curve,supplement_eq_11
0.7109645,7.6999546313266425,curve,supplement_eq_11
0.7209639999999999,7.709369859878822,curve,supplement_eq_11
0.7309635,7.716919302181411,curve,supplement_eq_11
0.7409629999999999,7.722673948520389,curve,supplement_eq_11
0.7509625,7.726702966359406,curve,supplement_eq_11
0.760962,7.729073696582055,curve,supplement_eq_11
0.7709615,7.729851654895537,curve,supplement_eq_11
0.776,7.729660388620869,hot_highlight,supplement_eq_11
0.780961,7.729100537918545,curve,supplement_eq_11
0.7909605,7.726882233502997,curve,supplement_eq_11
0.80096,7.723256834865813,curve,supplement_eq_11
0.8109594999999999,7.71828265813289,curve,supplement_eq_11
0.820959,7.712016262922864,curve,supplement_eq_11
0.8309584999999999,7.7045124756228445,curve,supplement_eq_11
0.840958,7.695824415032091,curve,supplement_eq_11
0.8509574999999999,7.686003520072612,curve,supplement_eq_11
0.860957,7.675099579287462,curve,supplement_eq_11
0.8709565,7.663160761868743,curve,supplement_eq_11
0.880956,7.650233649977063,curve,supplement_eq_11
0.8909555,7.636363272133452,curve,supplement_eq_11
0.900955,7.6215931374825185,curve,supplement_eq_11
0.9109545,7.605965270742783,curve,supplement_eq_11
0.9209539999999999,7.589520247676042,curve,supplement_eq_11
0.9309535,7.572297230922719,curve,supplement_eq_11
0.9409529999999999,7.55433400606431,curve,supplement_eq_11
0.9509525,7.5356670177871035,curve,supplement_eq_11
0.9609519999999999,7.516331406033903,curve,supplement_eq_11
0.9709515,7.496361042041827,curve,supplement_eq_11
0.980951,7.475788564174956,curve,supplement_eq_11
0.9909505,7.454645413470606,curve,supplement_eq_11
1.00095,7.432961868827164,curve,supplement_eq_11
1.0109495,7.410767081769836,curve,supplement_eq_11
1.0209489999999999,7.388089110738653,curve,supplement_eq_11
1.0309484999999998,7.364954954850144,curve,supplement_eq_11
1.0409479999999998,7.3413905870908245,curve,supplement_eq_11
1.0509475,7.317420986906716,curve,supplement_eq_11
1.0609469999999999,7.293070172158593,curve,supplement_eq_11
1.0709464999999998,7.268361230417902,curve,supplement_eq_11
1.080946,7.24331634958275,curve,supplement_eq_11
1.0909455,7.217956847797744,curve,supplement_eq_11
1.1009449999999998,7.192303202665123,curve,supplement_eq_11
1.1109444999999998,7.16637507973824,curve,supplement_eq_11
1.120944,7.140191360291431,curve,supplement_eq_11
1.1309434999999999,7.113770168363208,curve,supplement_eq_11
