series_kind,branch,alpha,gamma_prime,y,z,provenance
bifurcation,lower_alpha_gt_half,0.787426,3.4791563741623937,0.27309971449575454,-0.9501566124698342,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.788424,3.467117854270102,0.2739703819250517,-0.9498876027135456,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.7894220000000001,3.4551623580792055,0.2748404238819312,-0.9496182870753815,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.79042,3.4432890296811514,0.2757098401430234,-0.9493486679396164,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.791418,3.4314970248920798,0.27657863049082204,-0.9490787476779816,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.792416,3.419785511052747,0.27744679471364075,-0.9488085286497345,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.7934140000000001,3.4081536668325296,0.27831433260557137,-0.9485380132017263,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.794412,3.396600682037417,0.27918124396644134,-0.9482672036684693,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.79541,3.3851257574218887,0.28004752860177284,-0.9479961023722044,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.796408,3.3737281045046017,0.2809131863227406,-0.9477247116229678,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.7974060000000001,3.362406945387786,0.281778216946131,-0.9474530337186571,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.798404,3.3511615125802603,0.28264262029430093,-0.9471810709450976,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.799402,3.3399910488239897,0.2835063961951378,-0.9469088255761078,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.8004,3.3288948069241013,0.2843695444820187,-0.9466362998735642,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.801398,3.317872049582279,0.2852320649937704,-0.9463634960874668,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.802396,3.3069220492334557,0.2860939575746295,-0.9460904164560032,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.8033939999999999,3.2960440878857202,0.2869552220742034,-0.9458170632056122,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.804392,3.2852374569633893,0.28781585834743056,-0.9455434385510478,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.80539,3.274501457153148,0.2886758662545414,-0.945269544695443,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.806388,3.2638353982531956,0.2895352456610199,-0.9449953838303716,independent_discriminant_zero
