k_over_pi,rho_band0,rho_band1,rho_band2
2.583333333333333592e-01,4.847950461421119406e-01,1.687521893682933649e-01,3.464527644895948888e-01
2.611111111111111271e-01,5.019316021993019961e-01,1.653658051487052472e-01,3.327025926519960874e-01
2.638888888888889506e-01,5.193167983111779407e-01,1.620024446255179940e-01,3.186807570633091169e-01
2.666666666666666630e-01,5.369388575632967342e-01,1.586736045406502427e-01,3.043875378960450018e-01
2.694444444444444864e-01,5.547838605767554387e-01,1.553908276218248785e-01,2.898253118014046392e-01
2.722222222222222543e-01,5.728351808852262250e-01,1.521655709637191323e-01,2.749992481510578624e-01
2.750000000000000777e-01,5.910727823182658769e-01,1.490090822318495822e-01,2.599181354498884544e-01
2.777777777777777901e-01,6.094723609018574129e-01,1.459322864561723720e-01,2.445953526419724078e-01
2.805555555555555580e-01,6.280043169017603955e-01,1.429456857171886308e-01,2.290499973810563306e-01
2.833333333333333814e-01,6.466325485081352298e-01,1.400592734817810991e-01,2.133081780100765656e-01
2.861111111111111494e-01,6.653130683386802025e-01,1.372824647513980478e-01,1.974044669099130622e-01
2.888888888888889173e-01,6.839924586594372524e-01,1.346240425755529102e-01,1.813834987650024266e-01
2.916666666666666852e-01,7.026062023082073615e-01,1.320921208909320022e-01,1.653016768008528925e-01
2.944444444444445086e-01,7.210769549289705038e-01,1.296941230988222504e-01,1.492289219722141291e-01
2.972222222222222765e-01,7.393128609093941872e-01,1.274367753135300929e-01,1.332503637770689753e-01
3.000000000000000444e-01,7.572060597967190665e-01,1.253261128177820538e-01,1.174678273855025573e-01
3.027777777777778123e-01,7.746315793491015400e-01,1.233674979567452173e-01,1.020009226941607922e-01
3.055555555555555802e-01,7.914468601308884965e-01,1.215656474924942665e-01,8.698749237662051215e-02
3.083333333333332926e-01,8.074921951481852656e-01,1.199246673224627358e-01,7.258313752935449670e-02
3.111111111111111716e-01,8.225923827505292607e-01,1.184480924305188615e-01,5.895952481894308622e-02
3.138888888888889395e-01,8.365598650634037403e-01,1.171389299774448639e-01,4.630120495915569789e-02
3.166666666666667074e-01,8.491995406733894303e-01,1.159997035357584055e-01,3.480075579084916659e-02
3.194444444444444198e-01,8.603152877149632394e-01,1.150324966193238541e-01,2.465221566570966957e-02
3.222222222222222987e-01,8.697180132518971263e-01,1.142389938384926196e-01,1.604299290960616367e-02
3.250000000000000666e-01,8.772347781492637608e-01,1.136205182154572529e-01,9.144703635276163825e-03
3.277777777777778345e-01,8.827182778101365646e-01,1.131780634130540586e-01,4.103658776811354436e-03
