series,t1,E,root_index,beta_real,beta_imag,abs_beta
transition,1.2018504251546631,1.247995991983968,1,-0.1184110131849584,-0.5219200008678051,0.5351837584879965
transition,1.2018504251546631,1.2527054108216433,1,-0.11525962368327235,-0.5226249845708952,0.5351837584879964
transition,1.2018504251546631,1.2574148296593186,1,-0.11209636454127855,-0.5233125838406399,0.5351837584879964
transition,1.2018504251546631,1.2621242484969941,1,-0.10892123575897689,-0.523982652146114,0.5351837584879964
transition,1.2018504251546631,1.2668336673346694,1,-0.1057342373363677,-0.5246350411516892,0.5351837584879964
transition,1.2018504251546631,1.2715430861723447,1,-0.10253536927345092,-0.5252696006788277,0.5351837584879964
transition,1.2018504251546631,1.2762525050100202,1,-0.09932463157022625,-0.525886178666807,0.5351837584879964
transition,1.2018504251546631,1.2809619238476955,1,-0.09610202422669407,-0.526484621132346,0.5351837584879964
transition,1.2018504251546631,1.2856713426853708,1,-0.09286754724285427,-0.5270647721280889,0.5351837584879964
transition,1.2018504251546631,1.290380761523046,1,-0.08962120061870674,-0.5276264736999079,0.5351837584879964
transition,1.2018504251546631,1.2950901803607215,1,-0.08636298435425145,-0.5281695658429832,0.5351837584879964
transition,1.2018504251546631,1.2997995991983968,1,-0.08309289844948865,-0.5286938864566159,0.5351837584879964
transition,1.2018504251546631,1.304509018036072,1,-0.0798109429044181,-0.5291992712977275,0.5351837584879964
transition,1.2018504251546631,1.3092184368737476,1,-0.0765171177190397,-0.5296855539329997,0.5351837584879964
transition,1.2018504251546631,1.313927855711423,1,-0.07321142289335379,-0.5301525656896027,0.5351837584879964
transition,1.2018504251546631,1.3186372745490982,1,-0.06989385842736037,-0.5306001356044626,0.5351837584879964
transition,1.2018504251546631,1.3233466933867737,1,-0.06656442432105897,-0.5310280903720104,0.5351837584879964
transition,1.2018504251546631,1.328056112224449,1,-0.06322312057445018,-0.5314362542903585,0.5351837584879964
