curve,t1,theta,beta_real,beta_imag,abs_beta
C_beta,1.0,1.2251336253553509,0.15152502446490707,0.4207614133459832,0.447213595499958
C_beta,1.0,1.2426355342889988,0.1441380657401955,0.42334881363324395,0.447213595499958
C_beta,1.0,1.2601374432226466,0.1367069562291036,0.42580653836991983,0.44721359549995804
C_beta,1.0,1.2776393521562945,0.12923397214733404,0.42813383473281125,0.447213595499958
C_beta,1.0,1.2951412610899424,0.12172140253714724,0.43032998985010307,0.44721359549995804
C_beta,1.0,1.3126431700235903,0.1141715485662072,0.4323943310197235,0.447213595499958
C_beta,1.0,1.3301450789572382,0.10658672282271303,0.434326225915399,0.44721359549995804
C_beta,1.0,1.347646987890886,0.0989692486070324,0.4361250827803412,0.4472135954999579
C_beta,1.0,1.365148896824534,0.0913214592200538,0.4377903506085077,0.447213595499958
C_beta,1.0,1.3826508057581819,0.08364569724847541,0.4393215193133799,0.44721359549995804
C_beta,1.0,1.4001527146918296,0.07594431384724987,0.4407181198842072,0.447213595499958
C_beta,1.0,1.4176546236254775,0.06821966801940395,0.44197972452966927,0.4472135954999579
C_beta,1.0,1.4351565325591253,0.06047412589345526,0.44310594680891224,0.447213595499958
C_beta,1.0,1.4526584414927732,0.05271005999864544,0.444096441749919,0.447213595499958
C_beta,1.0,1.4701603504264211,0.044929848538213225,0.44495090595517756,0.447213595499958
C_beta,1.0,1.487662259360069,0.03713587466092931,0.4456690776946139,0.447213595499958
C_beta,1.0,1.505164168293717,0.02933052573111655,0.4462507369857627,0.4472135954999579
C_beta,1.0,1.5226660772273648,0.0215161925973787,0.44669570566114974,0.4472135954999579
C_beta,1.0,1.5401679861610127,0.013695268860262018,0.4470038474228663,0.4472135954999579
C_beta,1.0,1.5576698950946606,0.005870150139073879,0.4471750678843184,0.447213595499958
C_beta,1.0,1.5751718040283085,-0.0019567666619169817,0.4472093145991381,0.44721359549995804
C_beta,1.0,1.5926737129619561,-0.009783084087673708,0.4471065770772485,0.447213595499958
C_beta,1.0,1.610175621895604,-0.01760640486675377,0.44686688678807696,0.447213595499958
C_beta,1.0,1.627677530829252,-0.025424332645614167,0.4464903171509156,0.4472135954999579
C_beta,1.0,1.6451794397628998,-0.03323447272263651,0.44597698351243237,0.447213595499958
