particles,coupling,sector,selector,lower_index,lower_energy,upper_energy,midpoint_offset,spacing
1000,1.05,0,local_minimum_gap,1,-500.564821921245,-500.2844517243732,-0.4246368228091342,0.28037019687184284
1100,1.05,0,local_minimum_gap,1,-550.60547457914,-550.3418384472952,-0.4736565132176338,0.2636361318448053
1200,1.05,0,local_minimum_gap,1,-600.6490191526032,-600.3915322436517,-0.5202756981274206,0.25748690895147774
1300,1.05,0,local_minimum_gap,1,-650.6957973385021,-650.435054321835,-0.5654258301685786,0.26074301666710653
1400,1.05,0,local_minimum_gap,1,-700.7455129391658,-700.4742778081993,-0.6098953736825479,0.2712351309664882
600,1.05,1,midpoint_nearest,1,-300.2134541262158,-299.6585537247481,0.06399607451805878,0.5549004014677053
700,1.05,1,midpoint_nearest,1,-350.2968888046902,-349.7864546283024,-0.041671716496296085,0.5104341763877756
800,1.05,1,midpoint_nearest,1,-400.37109005022273,-399.8969438443527,-0.13401694728770508,0.4741462058700563
900,1.05,1,midpoint_nearest,1,-450.4388729687853,-449.9943872700307,-0.21663011940802335,0.44448569875459043
1000,1.05,1,midpoint_nearest,2,-500.0817084222024,-499.5709635356303,0.17366402108365264,0.5107448865720698
1100,1.05,1,midpoint_nearest,2,-550.1609893528145,-549.6787859601578,0.08011234351386065,0.48220339265662915
1200,1.05,1,midpoint_nearest,2,-600.2338030973577,-599.7771038500194,-0.005453473688589838,0.4566992473382925
1300,1.05,1,midpoint_nearest,2,-650.3014066706986,-649.867482680603,-0.08444467565072955,0.43392399009564997
1400,1.05,1,midpoint_nearest,2,-700.364853393719,-699.9511172158549,-0.15798530478696193,0.41373617786416617
600,1.05,1,straddling,1,-300.2134541262158,-299.6585537247481,0.06399607451805878,0.5549004014677053
700,1.05,1,straddling,1,-350.2968888046902,-349.7864546283024,-0.041671716496296085,0.5104341763877756
800,1.05,1,straddling,1,-400.37109005022273,-399.8969438443527,-0.13401694728770508,0.4741462058700563
900,1.05,1,straddling,1,-450.4388729687853,-449.9943872700307,-0.21663011940802335,0.44448569875459043
1000,1.05,1,straddling,2,-500.0817084222024,-499.5709635356303,0.17366402108365264,0.5107448865720698
1100,1.05,1,straddling,2,-550.1609893528145,-549.6787859601578,0.08011234351386065,0.48220339265662915
1200,1.05,1,straddling,2,-600.2338030973577,-599.7771038500194,-0.005453473688589838,0.4566992473382925
1300,1.05,1,straddling,2,-650.3014066706986,-649.867482680603,-0.08444467565072955,0.43392399009564997
1400,1.05,1,straddling,2,-700.364853393719,-699.9511172158549,-0.15798530478696193,0.41373617786416617
600,1.05,1,local_minimum_gap,0,-300.66223298948455,-300.2134541262158,-0.4378435578502149,0.4487788632687284
700,1.05,1,local_minimum_gap,0,-350.7239064913048,-350.2968888046902,-0.510397647997479,0.4270176866145903
800,1.05,1,local_minimum_gap,0,-400.7841163753141,-400.37109005022273,-0.5776032127683948,0.41302632509137993
900,1.05,1,local_minimum_gap,0,-450.84357824892027,-450.4388729687853,-0.6412256088527784,0.4047052801349764
1000,1.05,1,local_minimum_gap,0,-500.90268898652397,-500.5022170916261,-0.702453039075067,0.40047189489786206
1100,1.05,1,local_minimum_gap,0,-550.9616625479915,-550.5625661283362,-0.7621143381638831,0.39909641965527953
1200,1.05,1,local_minimum_gap,1,-600.6209843408343,-600.2338030973577,-0.42739371909601687,0.3871812434765616
1300,1.05,1,local_minimum_gap,1,-650.6782474571847,-650.3014066706986,-0.4898270639416751,0.3768407864861274
1400,1.05,1,local_minimum_gap,1,-700.7349042428805,-700.364853393719,-0.5498788182997032,0.37005084916143005
600,1.1,0,midpoint_nearest,3,-300.2006740236809,-299.6329349365098,0.0831955199046206,0.5677390871711054
700,1.1,0,midpoint_nearest,3,-350.3805086593018,-349.9104729706671,-0.14549081498444139,0.47003568863470946
800,1.1,0,midpoint_nearest,4,-400.1418586292761,-399.5920325657149,0.13305440250451284,0.5498260635612269
900,1.1,0,midpoint_nearest,4,-450.32677762949885,-449.8541152826267,-0.09044645606275026,0.47266234687214137
1000,1.1,0,midpoint_nearest,5,-500.0812669471888,-499.5427967079996,0.1879681724058173,0.5384702391891665
1100,1.1,0,midpoint_nearest,5,-550.2711343298977,-549.7951400987129,-0.03313721430527039,0.47599423118481354
1200,1.1,0,midpoint_nearest,5,-600.4223272515394,-600.0195010778898,-0.2209141647145998,0.4028261736496006
1300,1.1,0,midpoint_nearest,6,-650.2134524806046,-649.7346541629382,0.025946678228592646,0.47879831766636016
1400,1.1,0,midpoint_nearest,6,-700.3724163223061,-699.9569538008265,-0.16468506156627427,0.4154625214796397
600,1.1,0,straddling,3,-300.2006740236809,-299.6329349365098,0.0831955199046206,0.5677390871711054
700,1.1,0,straddling,3,-350.3805086593018,-349.9104729706671,-0.14549081498444139,0.47003568863470946
800,1.1,0,straddling,4,-400.1418586292761,-399.5920325657149,0.13305440250451284,0.5498260635612269
900,1.1,0,straddling,4,-450.32677762949885,-449.8541152826267,-0.09044645606275026,0.47266234687214137
1000,1.1,0,straddling,5,-500.0812669471888,-499.5427967079996,0.1879681724058173,0.5384702391891665
1100,1.1,0,straddling,5,-550.2711343298977,-549.7951400987129,-0.03313721430527039,0.47599423118481354
1200,1.1,0,straddling,6,-600.0195010778898,-599.4890666563841,0.24571613286298088,0.5304344215056744
1300,1.1,0,straddling,6,-650.2134524806046,-649.7346541629382,0.025946678228592646,0.47879831766636016
1400,1.1,0,straddling,6,-700.3724163223061,-699.9569538008265,-0.16468506156627427,0.4154625214796397
600,1.1,0,local_minimum_gap,2,-300.57545668817244,-300.2006740236809,-0.38806535592664204,0.3747826644915335
700,1.1,0,local_minimum_gap,2,-350.72954984083077,-350.3805086593018,-0.5550292500662977,0.34904118152894625
800,1.1,0,local_minimum_gap,3,-400.5213794217007,-400.1418586292761,-0.3316190254884077,0.37952079242461423
900,1.1,0,local_minimum_gap,3,-450.66157630618756,-450.32677762949885,-0.4941769678432024,0.3347986766887061
1000,1.1,0,local_minimum_gap,3,-500.82665623085967,-500.47135757394244,-0.6490069024010836,0.3552986569172276
1100,1.1,0,local_minimum_gap,4,-550.6035583619253,-550.2711343298977,-0.4373463459114646,0.33242403202757487
