panel,kind,depth,L,p,scaled_x,I3,standard_error
b,scan,7,16,0.7200000000000002,,-0.20833333333333331,0.35355339059327373
e,collapse,7,16,0.7200000000000002,0.26862660486137796,-0.20833333333333331,0.35355339059327373
b,scan,7,16,0.7375000000000002,,-0.08333333333333333,0.35355339059327373
e,collapse,7,16,0.7375000000000002,0.5074058091826013,-0.08333333333333333,0.35355339059327373
b,scan,7,16,0.7550000000000001,,0.0,0.35355339059327373
e,collapse,7,16,0.7550000000000001,0.7461850135038246,0.0,0.35355339059327373
b,scan,7,16,0.7725000000000002,,0.0,0.35355339059327373
e,collapse,7,16,0.7725000000000002,0.9849642178250494,0.0,0.35355339059327373
b,scan,7,16,0.7900000000000001,,0.0,0.35355339059327373
e,collapse,7,16,0.7900000000000001,1.2237434221462729,0.0,0.35355339059327373
b,scan,7,24,0.5100000000000001,,-23.208333333333336,0.9447799357438358
e,collapse,7,24,0.5100000000000001,-3.8054217832982653,-23.208333333333336,0.9447799357438358
b,scan,7,24,0.5275000000000001,,-21.041666666666668,0.7803069705276049
e,collapse,7,24,0.5275000000000001,-3.4554979411558966,-21.041666666666668,0.7803069705276049
b,scan,7,24,0.5450000000000002,,-17.75,0.6354288640515485
e,collapse,7,24,0.5450000000000002,-3.105574099013526,-17.75,0.6354288640515485
b,scan,7,24,0.5625000000000001,,-16.916666666666668,0.6508541396588876
e,collapse,7,24,0.5625000000000001,-2.755650256871158,-16.916666666666668,0.6508541396588876
b,scan,7,24,0.5800000000000001,,-13.416666666666666,0.4531634835874828
e,collapse,7,24,0.5800000000000001,-2.405726414728789,-13.416666666666666,0.4531634835874828
b,scan,7,24,0.5975000000000001,,-12.333333333333334,0.8521681032463465
e,collapse,7,24,0.5975000000000001,-2.0558025725864186,-12.333333333333334,0.8521681032463465
b,scan,7,24,0.6150000000000001,,-9.0,0.9407022031018291
e,collapse,7,24,0.6150000000000001,-1.7058787304440501,-9.0,0.9407022031018291
b,scan,7,24,0.6325000000000001,,-7.666666666666666,0.6546536707079771
e,collapse,7,24,0.6325000000000001,-1.3559548883016819,-7.666666666666666,0.6546536707079771
b,scan,7,24,0.6500000000000001,,-5.208333333333333,0.7097325116515644
e,collapse,7,24,0.6500000000000001,-1.0060310461593112,-5.208333333333333,0.7097325116515644
b,scan,7,24,0.6675000000000002,,-2.25,0.3921349783809667
e,collapse,7,24,0.6675000000000002,-0.6561072040169406,-2.25,0.3921349783809667
b,scan,7,24,0.6850000000000002,,-1.375,0.47324236215002274
e,collapse,7,24,0.6850000000000002,-0.30618336187457207,-1.375,0.47324236215002274
b,scan,7,24,0.7025000000000001,,-1.125,0.3560001560548971
e,collapse,7,24,0.7025000000000001,0.04374048026779633,-1.125,0.3560001560548971
b,scan,7,24,0.7200000000000002,,-0.041666666666666664,0.35355339059327373
e,collapse,7,24,0.7200000000000002,0.39366432241016697,-0.041666666666666664,0.35355339059327373
b,scan,7,24,0.7375000000000002,,0.0,0.35355339059327373
e,collapse,7,24,0.7375000000000002,0.7435881645525354,0.0,0.35355339059327373
b,scan,7,24,0.7550000000000001,,0.0,0.35355339059327373
e,collapse,7,24,0.7550000000000001,1.0935120066949038,0.0,0.35355339059327373
b,scan,7,24,0.7725000000000002,,0.0,0.35355339059327373
e,collapse,7,24,0.7725000000000002,1.4434358488372745,0.0,0.35355339059327373
b,scan,7,24,0.7900000000000001,,0.0,0.35355339059327373
e,collapse,7,24,0.7900000000000001,1.7933596909796428,0.0,0.35355339059327373
c,scan,31,8,0.7100000000000001,,-6.875,0.35355339059327373
f,collapse,31,8,0.7100000000000001,-1.6234151596925888,-6.875,0.35355339059327373
c,scan,31,8,0.7275,,-5.958333333333334,0.35355339059327373
f,collapse,31,8,0.7275,-1.4669414093607736,-5.958333333333334,0.35355339059327373
c,scan,31,8,0.7450000000000001,,-4.833333333333333,0.35355339059327373
f,collapse,31,8,0.7450000000000001,-1.310467659028957,-4.833333333333333,0.35355339059327373
c,scan,31,8,0.7625000000000001,,-4.375,0.35355339059327373
f,collapse,31,8,0.7625000000000001,-1.1539939086971418,-4.375,0.35355339059327373
c,scan,31,8,0.78,,-3.583333333333333,0.36050009356492196
f,collapse,31,8,0.78,-0.9975201583653264,-3.583333333333333,0.36050009356492196
c,scan,31,8,0.7975000000000001,,-2.958333333333333,0.35355339059327373
f,collapse,31,8,0.7975000000000001,-0.8410464080335099,-2.958333333333333,0.35355339059327373
c,scan,31,8,0.8150000000000001,,-2.6666666666666665,0.35355339059327373
f,collapse,31,8,0.8150000000000001,-0.6845726577016946,-2.6666666666666665,0.35355339059327373
c,scan,31,8,0.8325,,-1.9166666666666665,0.35355339059327373
f,collapse,31,8,0.8325,-0.5280989073698792,-1.9166666666666665,0.35355339059327373
c,scan,31,8,0.8500000000000001,,-0.7916666666666667,0.35355339059327373
f,collapse,31,8,0.8500000000000001,-0.37162515703806287,-0.7916666666666667,0.35355339059327373
c,scan,31,8,0.8675000000000002,,-0.41666666666666663,0.35355339059327373
f,collapse,31,8,0.8675000000000002,-0.2151514067062465,-0.41666666666666663,0.35355339059327373
c,scan,31,8,0.8850000000000001,,-0.16666666666666666,0.35355339059327373
f,collapse,31,8,0.8850000000000001,-0.058677656374431134,-0.16666666666666666,0.35355339059327373
c,scan,31,8,0.9025000000000001,,-0.125,0.35355339059327373
f,collapse,31,8,0.9025000000000001,0.09779609395738423,-0.125,0.35355339059327373
c,scan,31,8,0.9200000000000002,,-0.125,0.35355339059327373
f,collapse,31,8,0.9200000000000002,0.2542698442892006,-0.125,0.35355339059327373
c,scan,31,8,0.9375000000000001,,0.0,0.35355339059327373
f,collapse,31,8,0.9375000000000001,0.41074359462101595,0.0,0.35355339059327373
c,scan,31,8,0.9550000000000001,,0.0,0.35355339059327373
f,collapse,31,8,0.9550000000000001,0.5672173449528314,0.0,0.35355339059327373
c,scan,31,8,0.9725000000000001,,0.0,0.35355339059327373
f,collapse,31,8,0.9725000000000001,0.7236910952846477,0.0,0.35355339059327373
