campaign,label,L,m,d,p,time,observable,mean,standard_deviation,standard_error,realizations
phase,d1,32,11,1,0.5,193,half_chain_entropy,0.0,0.0,0.0,8
phase,d1,32,11,1,0.6000000000000001,193,half_chain_entropy,0.0,0.0,0.0,8
phase,d1,32,11,1,0.7000000000000001,193,half_chain_entropy,0.0,0.0,0.0,8
phase,d1,32,11,1,0.8,193,half_chain_entropy,0.0,0.0,0.0,8
phase,d1,32,11,1,0.9,193,half_chain_entropy,0.0,0.0,0.0,8
phase,d1,32,11,1,1.0,193,half_chain_entropy,0.0,0.0,0.0,8
phase,d2,32,11,2,0.0,193,half_chain_entropy,63.25,1.916925448368604,0.6777354917852515,8
phase,d2,32,11,2,0.1,193,half_chain_entropy,34.08333333333333,1.76158298219942,0.6228136361680155,8
phase,d2,32,11,2,0.2,193,half_chain_entropy,6.958333333333334,1.0755212837252601,0.38025419651629605,8
phase,d2,32,11,2,0.30000000000000004,193,half_chain_entropy,0.4583333333333333,0.615603974945138,0.21764887260455026,8
phase,d2,32,11,2,0.4,193,half_chain_entropy,0.20833333333333331,0.3959116463884736,0.1399759049560101,8
phase,d2,32,11,2,0.5,193,half_chain_entropy,0.08333333333333333,0.1543033499620919,0.05455447255899809,8
phase,d2,32,11,2,0.6000000000000001,193,half_chain_entropy,0.041666666666666664,0.1178511301977579,0.04166666666666666,8
phase,d2,32,11,2,0.7000000000000001,193,half_chain_entropy,0.0,0.0,0.0,8
phase,d2,32,11,2,0.8,193,half_chain_entropy,0.041666666666666664,0.1178511301977579,0.04166666666666666,8
phase,d2,32,11,2,0.9,193,half_chain_entropy,0.041666666666666664,0.1178511301977579,0.04166666666666666,8
phase,d2,32,11,2,1.0,193,half_chain_entropy,0.0,0.0,0.0,8
phase,d3,32,11,3,0.0,193,half_chain_entropy,168.91666666666666,2.611026678810524,0.9231373352229555,8
phase,d3,32,11,3,0.1,193,half_chain_entropy,94.79166666666667,2.322679760501061,0.8211913045875232,8
phase,d3,32,11,3,0.2,193,half_chain_entropy,58.08333333333333,1.2051476890327402,0.4260840516231736,8
phase,d3,32,11,3,0.30000000000000004,193,half_chain_entropy,27.833333333333336,2.1528865819918694,0.7611603506259894,8
phase,d3,32,11,3,0.4,193,half_chain_entropy,3.458333333333333,1.4135118934822846,0.4997519225845801,8
phase,d3,32,11,3,0.5,193,half_chain_entropy,0.3333333333333333,0.25197631533948484,0.0890870806374748,8
phase,d3,32,11,3,0.6000000000000001,193,half_chain_entropy,0.041666666666666664,0.1178511301977579,0.04166666666666666,8
phase,d3,32,11,3,0.7000000000000001,193,half_chain_entropy,0.0,0.0,0.0,8
phase,d3,32,11,3,0.8,193,half_chain_entropy,0.08333333333333333,0.2357022603955158,0.08333333333333331,8
phase,d3,32,11,3,0.9,193,half_chain_entropy,0.0,0.0,0.0,8
phase,d3,32,11,3,1.0,193,half_chain_entropy,0.0,0.0,0.0,8
phase,d4,32,11,4,0.0,129,half_chain_entropy,113.25,1.9820624179302297,0.7007648882267351,8
phase,d4,32,11,4,0.1,129,half_chain_entropy,94.54166666666666,2.8560017562575193,1.0097491044651905,8
phase,d4,32,11,4,0.2,129,half_chain_entropy,67.25,2.348589580125273,0.8303518091653235,8
phase,d4,32,11,4,0.30000000000000004,129,half_chain_entropy,41.45833333333333,0.8717342685248954,0.30820460633332414,8
phase,d4,32,11,4,0.4,129,half_chain_entropy,17.25,1.4986766649386871,0.5298622162920925,8
phase,d4,32,11,4,0.5,129,half_chain_entropy,2.291666666666667,1.0901798308041033,0.3854367755371922,8
phase,d4,32,11,4,0.6000000000000001,129,half_chain_entropy,0.5,0.642416074439621,0.22712838128974894,8
phase,d4,32,11,4,0.7000000000000001,129,half_chain_entropy,0.16666666666666666,0.1781741612749496,0.0629940788348712,8
phase,d4,32,11,4,0.8,129,half_chain_entropy,0.0,0.0,0.0,8
phase,d4,32,11,4,0.9,129,half_chain_entropy,0.0,0.0,0.0,8
phase,d4,32,11,4,1.0,129,half_chain_entropy,0.0,0.0,0.0,8
phase,d5,32,11,5,0.0,129,half_chain_entropy,174.45833333333334,0.6651769068904271,0.23517555077545685,8
phase,d5,32,11,5,0.1,129,half_chain_entropy,113.5,1.4253932901995976,0.5039526306789699,8
phase,d5,32,11,5,0.2,129,half_chain_entropy,83.875,2.084999333866134,0.7371585838730889,8
phase,d5,32,11,5,0.30000000000000004,129,half_chain_entropy,57.08333333333333,1.7615829821994216,0.6228136361680161,8
phase,d5,32,11,5,0.4,129,half_chain_entropy,35.958333333333336,1.326620003965203,0.46903100043075974,8
phase,d5,32,11,5,0.5,129,half_chain_entropy,16.208333333333332,2.1817242343890846,0.7713560004077751,8
phase,d5,32,11,5,0.6000000000000001,129,half_chain_entropy,2.208333333333333,0.8533314732122582,0.3016982356541472,8
phase,d5,32,11,5,0.7000000000000001,129,half_chain_entropy,0.16666666666666666,0.35634832254989923,0.12598815766974242,8
phase,d5,32,11,5,0.8,129,half_chain_entropy,0.08333333333333333,0.1543033499620919,0.05455447255899809,8
phase,d5,32,11,5,0.9,129,half_chain_entropy,0.041666666666666664,0.1178511301977579,0.04166666666666666,8
phase,d5,32,11,5,1.0,129,half_chain_entropy,0.0,0.0,0.0,8
phase,d7,32,11,7,0.0,129,half_chain_entropy,175.25,0.49601587276189363,0.17536809360304934,8
phase,d7,32,11,7,0.1,129,half_chain_entropy,122.625,1.3385315336840817,0.4732423621500219,8
phase,d7,32,11,7,0.2,129,half_chain_entropy,95.5,2.2747754119040375,0.8042545597168833,8
phase,d7,32,11,7,0.30000000000000004,129,half_chain_entropy,73.54166666666667,1.642080561796093,0.5805631502503165,8
phase,d7,32,11,7,0.4,129,half_chain_entropy,53.29166666666667,2.0811893730146727,0.735811559296027,8
phase,d7,32,11,7,0.5,129,half_chain_entropy,33.58333333333333,3.13581462037113,1.1086778913041726,8
phase,d7,32,11,7,0.6000000000000001,129,half_chain_entropy,17.25,1.3887301496588271,0.4909902530309828,8
phase,d7,32,11,7,0.7000000000000001,129,half_chain_entropy,3.75,1.4556948921555022,0.5146658647908877,8
phase,d7,32,11,7,0.8,129,half_chain_entropy,0.16666666666666666,0.35634832254989923,0.12598815766974242,8
phase,d7,32,11,7,0.9,129,half_chain_entropy,0.041666666666666664,0.1178511301977579,0.04166666666666666,8
phase,d7,32,11,7,1.0,129,half_chain_entropy,0.0,0.0,0.0,8
phase,d9,32,11,9,0.0,97,half_chain_entropy,175.125,0.39591164638847587,0.1399759049560109,8
phase,d9,32,11,9,0.1,97,half_chain_entropy,128.25,1.8408935028645397,0.6508541396588865,8
phase,d9,32,11,9,0.2,97,half_chain_entropy,103.875,1.1259916264596046,0.39809815731442816,8
phase,d9,32,11,9,0.30000000000000004,97,half_chain_entropy,83.04166666666666,1.4953632037438633,0.5286907308520633,8
phase,d9,32,11,9,0.4,97,half_chain_entropy,64.875,1.6226325856263653,0.573687252335332,8
phase,d9,32,11,9,0.5,97,half_chain_entropy,46.79166666666667,2.6121662846022473,0.923540246714559,8
phase,d9,32,11,9,0.6000000000000001,97,half_chain_entropy,30.208333333333332,1.2336228746360853,0.43615155004100903,8
phase,d9,32,11,9,0.7000000000000001,97,half_chain_entropy,13.333333333333332,2.047065262876636,0.7237468644557459,8
phase,d9,32,11,9,0.8,97,half_chain_entropy,0.875,0.5019802057692384,0.17747680376042346,8
phase,d9,32,11,9,0.9,97,half_chain_entropy,0.041666666666666664,0.1178511301977579,0.04166666666666666,8
phase,d9,32,11,9,1.0,97,half_chain_entropy,0.0,0.0,0.0,8
phase,d11,32,11,11,0.0,97,half_chain_entropy,175.20833333333334,0.24800793638094784,0.08768404680152504,8
phase,d11,32,11,11,0.1,97,half_chain_entropy,131.75,1.761582982199416,0.6228136361680141,8
phase,d11,32,11,11,0.2,97,half_chain_entropy,109.08333333333333,2.005943549507194,0.7092081432669748,8
