phase,cosine_potential,harmonic_comparator
-0.5017499999999999,-43.837111191404865,-43.7061734375
-0.4995,-43.89110824759344,-43.76249375
-0.49724999999999997,-43.944883105140256,-43.8185609375
-0.495,-43.99843549181021,-43.874375
-0.49274999999999997,-44.05176513649446,-43.9299359375
-0.4905,-44.104871769211776,-43.98524375
-0.48824999999999996,-44.15775512110997,-44.0402984375
-0.486,-44.210414924467166,-44.0951
-0.48374999999999996,-44.26285091269323,-44.149648437500005
-0.4815,-44.315062820331086,-44.20394375
-0.47924999999999995,-44.36705038305806,-44.2579859375
-0.477,-44.41881333768722,-44.311775
-0.47474999999999995,-44.47035142216873,-44.3653109375
-0.4725,-44.52166437559114,-44.41859375
-0.47024999999999995,-44.57275193818273,-44.4716234375
-0.46799999999999997,-44.62361385131285,-44.5244
-0.46575,-44.67424985749312,-44.5769234375
-0.46349999999999997,-44.72465970037893,-44.62919375
-0.46125,-44.774843124770506,-44.6812109375
-0.45899999999999996,-44.8247998766144,-44.732975
-0.45675,-44.874529703004654,-44.7844859375
-0.45449999999999996,-44.92403235218412,-44.83574375
-0.45225,-44.97330757354575,-44.8867484375
-0.44999999999999996,-45.02235511763385,-44.9375
-0.44775,-45.071174736145316,-44.9879984375
-0.44549999999999995,-45.119766181930935,-45.03824375
-0.44325,-45.16812920899663,-45.0882359375
-0.44099999999999995,-45.21626357250467,-45.137975
-0.43875,-45.264169028774944,-45.1874609375
-0.43649999999999994,-45.31184533528618,-45.23669375
-0.43424999999999997,-45.35929225067719,-45.2856734375
-0.43199999999999994,-45.40650953474805,-45.3344
-0.42974999999999997,-45.453496948461364,-45.3828734375
-0.4275,-45.50025425394345,-45.43109375
-0.42524999999999996,-45.54678121448556,-45.4790609375
-0.423,-45.59307759454505,-45.526775
-0.42074999999999996,-45.639143159746595,-45.5742359375
-0.4185,-45.684977676883356,-45.62144375
-0.41624999999999995,-45.7305809139182,-45.6683984375
-0.414,-45.775952639984844,-45.7151
-0.41174999999999995,-45.821092625389014,-45.761548437500004
-0.4095,-45.866000641609624,-45.80774375
-0.40724999999999995,-45.91067646129995,-45.8536859375
-0.40499999999999997,-45.95511985828873,-45.899375
-0.40274999999999994,-45.9993306075814,-45.9448109375
-0.40049999999999997,-46.04330848536109,-45.989993750000004
-0.39825,-46.08705326898991,-46.0349234375
-0.396,-46.13056473701,-46.0796
-0.39374999999999993,-46.173842669144626,-46.1240234375
-0.39149999999999996,-46.216886846299346,-46.16819375
-0.38925,-46.259697050563126,-46.2121109375
-0.387,-46.302273065209384,-46.255775
-0.3847499999999999,-46.34461467469714,-46.2991859375
-0.38249999999999995,-46.38672166467207,-46.34234375
-0.38025,-46.42859382196766,-46.3852484375
-0.378,-46.470230934606185,-46.4279
-0.3757499999999999,-46.51163279179985,-46.4702984375
-0.37349999999999994,-46.55279918395184,-46.51244375
-0.37124999999999997,-46.59372990265738,-46.5543359375
-0.369,-46.63442474070481,-46.595975
-0.3667499999999999,-46.67488349207659,-46.6373609375
-0.36449999999999994,-46.71510595195037,-46.67849375
-0.36224999999999996,-46.75509191670004,-46.7193734375
-0.36,-46.79484118389674,-46.76
-0.35775,-46.83435355230989,-46.8003734375
-0.3554999999999999,-46.873628821908206,-46.84049375
-0.35324999999999995,-46.91266679386072,-46.8803609375
-0.351,-46.95146727053779,-46.919975
-0.34875,-46.99003005551208,-46.9593359375
-0.3464999999999999,-47.028354953559564,-46.99844375
-0.34424999999999994,-47.06644177066054,-47.0372984375
-0.34199999999999997,-47.10429031400057,-47.0759
-0.33975,-47.14190039197149,-47.1142484375
-0.3374999999999999,-47.17927181417237,-47.15234375
-0.33524999999999994,-47.216404391410435,-47.190185937500004
-0.33299999999999996,-47.25329793570212,-47.227775
-0.33075,-47.28995226027392,-47.2651109375
-0.3284999999999999,-47.32636717956341,-47.30219375
-0.32624999999999993,-47.36254250922013,-47.3390234375
-0.32399999999999995,-47.39847806610654,-47.3756
-0.32175,-47.43417366829898,-47.4119234375
-0.3195,-47.46962913508853,-47.44799375
-0.3172499999999999,-47.50484428698197,-47.4838109375
