t_us,P00,P01,P11,phi00,phi01,phi11,omega1p_MHz,omega2p_MHz,delta1_MHz,delta2_MHz
0.226875,0.9783239704697936,0.967126891142322,0.9398349379564807,1.4809833916242239,-2.0543686865684396,-2.4908865271788514,127.55669397068515,111.41821979871104,-4.4131267352973715,0.11744141094655695
0.2275,0.9809323170822621,0.9710485628165497,0.9454475280591416,1.4831998013781957,-2.0500763549072616,-2.4851689341049124,123.34408142730344,106.88975123953158,-4.558156092314316,-0.02792050589829529
0.228125,0.9833156914501775,0.9746144332190921,0.950627680905014,1.485309695459101,-2.0460567725666277,-2.479845162104308,119.03605301509886,102.35306753956061,-4.701271531104889,-0.17135029941092023
0.22875,0.9854826672532058,0.9778424573191118,0.9553948990700398,1.4873083470619095,-2.0423084518723993,-2.474907771892795,114.64034114339925,97.81608151269607,-4.842315965799045,-0.31269155785201513
0.229375,0.9874425926607856,0.98075120027116,0.9597692252416046,1.4891920106765069,-2.0388285158108257,-2.4703477021323366,110.16553982934047,93.28687011255425,-4.981134755463385,-0.4517903068064826
0.23,0.9892054977843732,0.9833596806296966,0.9637710641236945,1.490957947183765,-2.035612725873589,-2.4661543583785495,105.62106652367937,88.7736508909665,-5.117575860524514,-0.5884951647122897
0.230625,0.9907819933631629,0.9856872108604602,0.9674210122552075,1.492604436275518,-2.032655524697324,-2.46231571761723,101.01711883827151,84.28475789134362,-5.251489996525151,-0.7226574957366648
0.23125,0.992183162197199,0.9877532375363177,0.9707396971865806,1.4941307756798334,-2.029950093335322,-2.458818447946438,96.36462641502332,79.82861705780464,-5.382730785060466,-0.854131559848076
0.231875,0.9934204450410712,0.9895771837841816,0.9737476268087194,1.4955372669267444,-2.027488422955285,-2.4556480422849134,91.67519820570033,75.41372124253859,-5.51115490174481,-0.9827746599350021
0.2325,0.9945055228699664,0.9911782963534194,0.9764650495735149,1.496825187635637,-2.02526140067756,-2.4527889643095264,86.96106545995443,71.04860489514243,-5.636622221061895,-1.1084472858255057
0.233125,0.9954501975797949,0.9925754992579073,0.9789118267619749,1.4979967505373217,-2.023258909040405,-2.450224804389876,82.2350207451671,66.74181851867208,-5.758995957954626,-1.2310132550646466
0.23375,0.9962662732422662,0.9937872555671353,0.9811073183881196,1.4990550496728652,-2.0214699381939827,-2.4479384432111786,77.51035334601548,62.5019029778447,-5.8781428060141785,-1.3503398503101833
0.234375,0.9969654400115497,0.9948314387708451,0.9830702842565644,1.500003994455672,-2.0198827094687406,-2.4459122209328434,72.80078141393898,58.337363745255665,-5.993933072130866,-1.4662979532099558
0.23500000000000001,0.9975591626871816,0.9957252152345859,0.9848188011187374,1.5008482325439667,-2.0184848085617446,-2.4441281098998466,68.12038125671754,54.25664517158121,-6.106240807473537,-1.5787621746284863
0.235625,0.9980585758313846,0.9964849394259316,0.9863701959422041,1.5015930627477854,-2.017263326323853,-2.4425678889055717,63.483514176136644,50.268104865601344,-6.214943934667102,-1.6876109810931843
0.23625000000000002,0.998474387224016,0.9971260636144458,0.9877409945018075,1.5022443394547933,-2.0162050050064684,-2.441213316776235,58.9047512769889,46.379988269404606,-6.319924371042318,-1.7927268173350657
