L,p,gamma,ell,chord_length,entropy,entropy_sem,correlation_positive,correlation_positive_sem,correlation_connected,trajectories,samples_per_trajectory,max_invariant_residual,stationary_relative_drift
24,1.15,2.0,4.0,3.8197186342054876,1.3961080396417564,0.08681953614384923,0.006144433757362481,0.0006386512207461753,-0.006144433757362481,4,5,3.552713678800501e-15,0.3195282117960416
24,1.15,2.0,5.0,4.650594748340343,1.5991824128203602,0.11218415077496828,0.005290508383118186,0.0002357282711798779,-0.005290508383118186,4,5,3.552713678800501e-15,0.3195282117960416
24,1.15,2.0,6.0,5.401897896942636,1.7545587171241925,0.11503614150107587,0.004736387363375068,0.0001945067566858151,-0.004736387363375068,4,5,3.552713678800501e-15,0.3195282117960416
24,1.15,2.0,7.0,6.060773074839197,1.8840162774394258,0.11603626572355583,0.004272724228940757,0.0004488108432180993,-0.004272724228940757,4,5,3.552713678800501e-15,0.3195282117960416
24,1.15,2.0,8.0,6.615946745061504,1.9962273683643827,0.11155425375417397,0.003988906495092133,0.000291829046497936,-0.003988906495092133,4,5,3.552713678800501e-15,0.3195282117960416
24,1.15,2.0,9.0,7.057919732188834,2.0591224970516584,0.09021661087985737,0.003312054377004825,0.00027753944996723794,-0.003312054377004825,4,5,3.552713678800501e-15,0.3195282117960416
24,1.15,2.0,10.0,7.379129755873375,2.1166256616214927,0.1091283310329446,0.0033287432863631375,0.00024058635697681894,-0.0033287432863631375,4,5,3.552713678800501e-15,0.3195282117960416
24,1.15,2.0,11.0,7.574080823553641,2.1539802012418647,0.1159806795125716,0.003395835515722893,0.0003323346473254163,-0.003395835515722893,4,5,3.552713678800501e-15,0.3195282117960416
24,1.15,2.0,12.0,7.639437268410976,2.1662880848758155,0.09199880922244326,0.0036838146436967588,0.0004872187929251221,-0.0036838146436967588,4,5,3.552713678800501e-15,0.3195282117960416
24,1.25,0.3,1.0,0.9971466573496368,0.6307859688450287,0.020362189897036406,0.017333512658915112,0.0008950801550117449,-0.017333512658915112,4,5,3.552713678800501e-15,0.16281986826826886
24,1.25,0.3,2.0,1.9772318589307383,1.1855933707740332,0.022649754365138306,0.013410030308949949,0.00039330644252854864,-0.013410030308949949,4,5,3.552713678800501e-15,0.16281986826826886
24,1.25,0.3,3.0,2.923486075213298,1.653720218693457,0.025610504595580112,0.010837827582541882,0.0006167709377955382,-0.010837827582541882,4,5,3.552713678800501e-15,0.16281986826826886
24,1.25,0.3,4.0,3.8197186342054876,2.0766799087397563,0.03391895671505016,0.010467460687095354,0.00037905986810728197,-0.010467460687095354,4,5,3.552713678800501e-15,0.16281986826826886
24,1.25,0.3,5.0,4.650594748340343,2.44187550919739,0.05242608476362548,0.009187013968753027,0.0003524989036613869,-0.009187013968753027,4,5,3.552713678800501e-15,0.16281986826826886
24,1.25,0.3,6.0,5.401897896942636,2.737795142832182,0.05108760062369794,0.008293153099617584,0.000377597118307278,-0.008293153099617584,4,5,3.552713678800501e-15,0.16281986826826886
24,1.25,0.3,7.0,6.060773074839197,3.0238239577617074,0.05867695117413712,0.007555390440913688,0.00018612950952990085,-0.007555390440913688,4,5,3.552713678800501e-15,0.16281986826826886
24,1.25,0.3,8.0,6.615946745061504,3.2263815256156176,0.07044282019721208,0.006860094866814176,0.00028522031089676475,-0.006860094866814176,4,5,3.552713678800501e-15,0.16281986826826886
24,1.25,0.3,9.0,7.057919732188834,3.385939438219787,0.05714350219197803,0.006856628501473948,0.0002489311681772484,-0.006856628501473948,4,5,3.552713678800501e-15,0.16281986826826886
24,1.25,0.3,10.0,7.379129755873375,3.4749016764226703,0.06201799114737326,0.006756737216149273,0.0003787421395007854,-0.006756737216149273,4,5,3.552713678800501e-15,0.16281986826826886
24,1.25,0.3,11.0,7.574080823553641,3.5166735584322613,0.058630746684979515,0.006511908763852074,0.0003320140481640942,-0.006511908763852074,4,5,3.552713678800501e-15,0.16281986826826886
