family,strategy,seed,qubits,gate_count,one_qubit_gates,two_qubit_gates,native_three_qubit_gates,native_four_qubit_gates,scheduled_stages,movement_events,movement_distance_um,movement_duration_us,transfer_events,idle_exposure,total_duration_us,idle_coherence_us,log_no_fault,no_fault
p_spin_ising,zap_decomposed,71,10,820,620,200,0,0,527,800,28605.78518926228,49230.04242447509,800,1600,72306.04242447525,580216.3393958025,-6.380755779077019,0.0016938423021665414
hypergraph_4local,mobius_native,71,10,20,0,0,0,20,20,160,5770.608022570954,5101.599436799586,160,120,5713.119436799587,34278.716620797524,-1.1161764279875124,0.327529737013556
hypergraph_4local,zap_decomposed,71,10,1140,860,280,0,0,796,1120,40426.21406477354,68703.2180228672,1120,2240,104036.01802286736,841232.1441829398,-8.949943909988354,0.00012974443720865797
qram_oracle,mobius_native,71,10,30,0,0,10,20,30,220,7775.005398431628,7624.565923133416,220,190,8541.845923133416,54141.62948139092,-1.550819430937054,0.21207412250996405
qram_oracle,zap_decomposed,71,10,1390,1050,340,0,0,883,1360,47936.96968351145,82660.0567423424,1360,2720,121218.45674234246,971619.6539387405,-10.836252562372174,1.967321361645575e-05
multiplier_oracle,mobius_native,71,10,25,0,10,10,5,25,140,5010.99102418136,6265.011910661812,140,180,7027.251910661813,50438.47940548061,-1.0187535505678076,0.36104468376460247
multiplier_oracle,zap_decomposed,71,10,545,405,140,0,0,389,560,20324.059942434644,34456.86899858437,560,1120,51655.268998584506,418078.1519886763,-4.465778883033932,0.01149573843645902
qft_pairs,mobius_native,71,10,45,0,45,0,0,45,180,6436.640504908369,10980.398453324522,180,360,12346.598453324517,98772.78762659614,-1.3726298457115782,0.25343957539825723
qft_pairs,zap_decomposed,71,10,45,0,45,0,0,45,180,6436.640504908369,10980.398453324522,180,360,12346.598453324517,98772.78762659614,-1.3726298457115782,0.25343957539825723
ghz_chain,mobius_native,71,10,28,19,9,0,0,19,36,1284.31746400203,2071.0264312120926,36,72,2864.2664312120924,22966.13144969674,-0.28236787359627186,0.753996258192228
ghz_chain,zap_decomposed,71,10,28,19,9,0,0,19,36,1284.31746400203,2071.0264312120926,36,72,2864.2664312120924,22966.13144969674,-0.28236787359627186,0.753996258192228
