energy,z2_overlap_sq,is_tower_state
-6.5398036413,8.652e-10,0
-6.5362164280,4.185e-08,0
-6.5293744404,2.639e-09,0
-6.5257239771,8.875e-09,0
-6.5242117918,1.533e-08,0
-6.5212899055,9.940e-09,0
-6.5198449918,1.195e-10,0
-6.5159895491,7.830e-10,0
-6.5157514544,3.836e-08,0
-6.5121271792,1.147e-08,0
-6.5106902717,1.779e-07,0
-6.5049129132,3.104e-08,0
-6.4986373410,2.626e-09,0
-6.4969248648,1.366e-10,0
-6.4957629213,2.161e-09,0
-6.4946139196,7.344e-09,0
-6.4902814258,1.368e-09,0
-6.4890413086,1.487e-12,0
-6.4825894314,8.833e-09,0
-6.4820103670,1.703e-07,0
-6.4791070699,5.860e-08,0
-6.4768066962,2.586e-08,0
-6.4629138649,2.341e-08,0
-6.4594497349,1.093e-13,0
-6.4580879696,1.011e-07,0
-6.4566784254,7.745e-10,0
-6.4553699849,1.663e-08,0
-6.4539250117,3.203e-10,0
-6.4534261363,1.584e-09,0
-6.4527751433,9.064e-11,0
-6.4502874718,2.229e-06,0
-6.4466191503,2.140e-06,0
-6.4446689315,3.785e-09,0
-6.4419590082,1.967e-09,0
-6.4341007348,2.534e-08,0
-6.4332801981,9.803e-11,0
-6.4326627139,2.730e-08,0
-6.4268266280,1.202e-07,0
-6.4264357781,7.992e-08,0
-6.4259763880,1.245e-08,0
-6.4219906705,1.808e-08,0
-6.4195081316,1.327e-06,0
-6.4184799753,1.230e-06,0
-6.4149790561,2.080e-06,0
-6.4146738021,5.831e-07,0
-6.4128067511,3.706e-06,0
-6.4107601095,2.410e-06,0
-6.4073526971,1.623e-08,0
-6.4056598280,7.825e-08,0
-6.4033953831,6.616e-07,0
-6.4002767902,1.864e-07,0
-6.3983310755,1.491e-05,0
-6.3966001186,2.123e-05,0
-6.3955037280,9.825e-07,0
-6.3945599026,2.956e-09,0
-6.3918208011,6.154e-08,0
-6.3904461707,9.066e-10,0
-6.3869106737,2.537e-12,0
-6.3849358278,9.292e-09,0
-6.3820698317,8.228e-09,0
-6.3816458160,7.089e-09,0
-6.3798196016,4.390e-08,0
-6.3794177755,3.714e-08,0
-6.3777464688,9.418e-08,0
-6.3752841732,5.693e-08,0
-6.3663402673,3.487e-08,0
-6.3647437927,1.624e-09,0
-6.3626815047,1.056e-10,0
-6.3609824777,1.537e-08,0
-6.3585792824,4.819e-12,0
-6.3577428520,3.438e-10,0
-6.3553453640,9.445e-09,0
-6.3540919887,2.435e-09,0
-6.3531992649,8.583e-09,0
