target_id,p0,activity,fitted_viscosity,fit_family
T020,4.0,0.375,0.24473740694556104,spline
T020,4.0,0.3828125,0.24460214037183398,spline
T020,4.0,0.390625,0.24446652631014099,spline
T020,4.0,0.3984375,0.24433052292659727,spline
T020,4.0,0.40625,0.24419408848362023,spline
T020,4.0,0.4140625,0.2440571813406357,spline
T020,4.0,0.421875,0.24391975995485457,spline
T020,4.0,0.4296875,0.2437817828821214,spline
T020,4.0,0.4375,0.2436432087778328,spline
T020,4.0,0.4453125,0.24350399639792575,spline
T020,4.0,0.453125,0.24336410459993643,spline
T020,4.0,0.4609375,0.24322349234412838,spline
T020,4.0,0.46875,0.24308211869468935,spline
T020,4.0,0.4765625,0.24293994282099743,spline
T020,4.0,0.484375,0.24279692399895617,spline
T020,4.0,0.4921875,0.24265302161239669,spline
T020,4.0,0.5,0.24250819515454897,spline
T020,4.0,0.5161290322580645,0.24220777239621583,spline
T020,4.0,0.532258064516129,0.2419065047111469,spline
T020,4.0,0.5483870967741935,0.2416044579886553,spline
T020,4.0,0.564516129032258,0.24130169781574137,spline
T020,4.0,0.5806451612903226,0.2409982894751065,spline
T020,4.0,0.5967741935483871,0.24069429794334415,spline
T020,4.0,0.6129032258064516,0.24038978788930557,spline
T020,4.0,0.6290322580645161,0.24008482367264034,spline
T020,4.0,0.6451612903225806,0.23977946934250852,spline
T020,4.0,0.6612903225806451,0.23947378863646462,spline
T020,4.0,0.6774193548387097,0.23916784497951118,spline
T020,4.0,0.6935483870967742,0.2388617014833209,spline
T020,4.0,0.7096774193548387,0.2385554209456253,spline
T020,4.0,0.7258064516129032,0.23824906584977001,spline
T020,4.0,0.7419354838709677,0.23794269836443316,spline
T020,4.0,0.7580645161290323,0.23763638034350712,spline
T020,4.0,0.7741935483870968,0.2373301733261417,spline
T020,4.0,0.7903225806451613,0.2370241385369469,spline
T020,4.0,0.8064516129032258,0.23671833688635444,spline
T020,4.0,0.8225806451612903,0.2364128289711366,spline
T020,4.0,0.8387096774193548,0.23610767507508074,spline
T020,4.0,0.8548387096774194,0.23580293516981726,spline
T020,4.0,0.8709677419354839,0.23549866891580223,spline
T020,4.0,0.8870967741935484,0.23519493566344965,spline
T020,4.0,0.9032258064516129,0.2348917944544155,spline
T020,4.0,0.9193548387096774,0.23458930402302913,spline
T020,4.0,0.935483870967742,0.23428752279787313,spline
T020,4.0,0.9516129032258065,0.2339865089035086,spline
T020,4.0,0.967741935483871,0.23368632016234575,spline
T020,4.0,0.9838709677419355,0.23338701409665688,spline
T020,4.0,1.0,0.23308864793073228,spline
