flux_over_h_over_e,angular_level,right_down_energy_over_half_gap,left_up_energy_over_half_gap
0.24,0,0.07539822368615504,-0.07539822368615504
0.24,1,0.3895574890451343,-0.3895574890451343
0.24,2,0.7037167544041137,-0.7037167544041137
0.24,3,1.017876019763093,-1.017876019763093
0.24,4,1.3320352851220723,-1.3320352851220723
0.24,5,1.6461945504810516,-1.6461945504810516
0.24,6,1.9603538158400309,-1.9603538158400309
0.24,7,2.2745130811990104,-2.2745130811990104
0.24,8,2.5886723465579897,-2.5886723465579897
0.25,-8,-2.4347343065320897,2.4347343065320897
0.25,-7,-2.1205750411731104,2.1205750411731104
0.25,-6,-1.806415775814131,1.806415775814131
0.25,-5,-1.4922565104551517,1.4922565104551517
0.25,-4,-1.1780972450961724,1.1780972450961724
0.25,-3,-0.8639379797371931,0.8639379797371931
0.25,-2,-0.5497787143782138,0.5497787143782138
0.25,-1,-0.23561944901923448,0.23561944901923448
0.25,0,0.07853981633974483,-0.07853981633974483
0.25,1,0.39269908169872414,-0.39269908169872414
0.25,2,0.7068583470577035,-0.7068583470577035
0.25,3,1.0210176124166828,-1.0210176124166828
0.25,4,1.335176877775662,-1.335176877775662
0.25,5,1.6493361431346414,-1.6493361431346414
0.25,6,1.9634954084936207,-1.9634954084936207
0.25,7,2.2776546738526,-2.2776546738526
0.25,8,2.5918139392115793,-2.5918139392115793
0.26,-8,-2.4315927138785,2.4315927138785
0.26,-7,-2.1174334485195208,2.1174334485195208
0.26,-6,-1.8032741831605412,1.8032741831605412
0.26,-5,-1.489114917801562,1.489114917801562
0.26,-4,-1.1749556524425826,1.1749556524425826
0.26,-3,-0.8607963870836034,0.8607963870836034
0.26,-2,-0.546637121724624,0.546637121724624
0.26,-1,-0.2324778563656447,0.2324778563656447
0.26,0,0.08168140899333462,-0.08168140899333462
0.26,1,0.39584067435231396,-0.39584067435231396
0.26,2,0.7099999397112932,-0.7099999397112932
0.26,3,1.0241592050702726,-1.0241592050702726
0.26,4,1.338318470429252,-1.338318470429252
0.26,5,1.6524777357882312,-1.6524777357882312
0.26,6,1.9666370011472105,-1.9666370011472105
0.26,7,2.2807962665061896,-2.2807962665061896
0.26,8,2.594955531865169,-2.594955531865169
0.27,-8,-2.42845112122491,2.42845112122491
0.27,-7,-2.1142918558659307,2.1142918558659307
0.27,-6,-1.8001325905069516,1.8001325905069516
0.27,-5,-1.4859733251479723,1.4859733251479723
0.27,-4,-1.1718140597889928,1.1718140597889928
0.27,-3,-0.8576547944300135,0.8576547944300135
0.27,-2,-0.5434955290710342,0.5434955290710342
0.27,-1,-0.2293362637120549,0.2293362637120549
0.27,0,0.08482300164692443,-0.08482300164692443
0.27,1,0.3989822670059037,-0.3989822670059037
0.27,2,0.7131415323648831,-0.7131415323648831
0.27,3,1.0273007977238624,-1.0273007977238624
0.27,4,1.3414600630828415,-1.3414600630828415
0.27,5,1.6556193284418208,-1.6556193284418208
0.27,6,1.9697785938008001,-1.9697785938008001
0.27,7,2.2839378591597796,-2.2839378591597796
0.27,8,2.598097124518759,-2.598097124518759
0.28,-8,-2.4253095285713204,2.4253095285713204
0.28,-7,-2.111150263212341,2.111150263212341
0.28,-6,-1.7969909978533616,1.7969909978533616
0.28,-5,-1.4828317324943823,1.4828317324943823
0.28,-4,-1.168672467135403,1.168672467135403
0.28,-3,-0.8545132017764236,0.8545132017764236
0.28,-2,-0.5403539364174444,0.5403539364174444
0.28,-1,-0.2261946710584651,0.2261946710584651
0.28,0,0.08796459430051422,-0.08796459430051422
0.28,1,0.40212385965949354,-0.40212385965949354
0.28,2,0.7162831250184729,-0.7162831250184729
0.28,3,1.0304423903774522,-1.0304423903774522
0.28,4,1.3446016557364315,-1.3446016557364315
0.28,5,1.6587609210954108,-1.6587609210954108
0.28,6,1.9729201864543902,-1.9729201864543902
0.28,7,2.2870794518133692,-2.2870794518133692
0.28,8,2.6012387171723486,-2.6012387171723486
0.29,-8,-2.4221679359177304,2.4221679359177304
0.29,-7,-2.108008670558751,2.108008670558751
0.29,-6,-1.7938494051997718,1.7938494051997718
0.29,-5,-1.4796901398407925,1.4796901398407925
0.29,-4,-1.1655308744818131,1.1655308744818131
0.29,-3,-0.8513716091228339,0.8513716091228339
0.29,-2,-0.5372123437638546,0.5372123437638546
0.29,-1,-0.2230530784048753,0.2230530784048753
0.29,0,0.091106186954104,-0.091106186954104
0.29,1,0.4052654523130833,-0.4052654523130833
0.29,2,0.7194247176720626,-0.7194247176720626
0.29,3,1.033583983031042,-1.033583983031042
0.29,4,1.3477432483900214,-1.3477432483900214
0.29,5,1.6619025137490007,-1.6619025137490007
0.29,6,1.97606177910798,-1.97606177910798
0.29,7,2.2902210444669593,-2.2902210444669593
0.29,8,2.604380309825938,-2.604380309825938
0.3,-8,-2.419026343264141,2.419026343264141
