theta_case,phi_rad,state,probability
pi_over_2,-1.3264502315156903,11,0.9414737964294626
pi_over_2,-1.3264502315156903,02,0.02926310178526828
pi_over_2,-1.308996938995747,20,0.03349364905389036
pi_over_2,-1.308996938995747,11,0.9330127018922185
pi_over_2,-1.308996938995747,02,0.03349364905389035
pi_over_2,-1.2915436464758039,20,0.03798797596089349
pi_over_2,-1.2915436464758039,11,0.9240240480782121
pi_over_2,-1.2915436464758039,02,0.03798797596089349
pi_over_2,-1.2740903539558606,20,0.042740606861239545
pi_over_2,-1.2740903539558606,11,0.9145187862775204
pi_over_2,-1.2740903539558606,02,0.04274060686123956
pi_over_2,-1.2566370614359172,20,0.04774575140626311
pi_over_2,-1.2566370614359172,11,0.904508497187473
pi_over_2,-1.2566370614359172,02,0.04774575140626314
pi_over_2,-1.239183768915974,20,0.052997311598319496
pi_over_2,-1.239183768915974,11,0.8940053768033605
pi_over_2,-1.239183768915974,02,0.05299731159831948
pi_over_2,-1.2217304763960306,20,0.05848888922025547
pi_over_2,-1.2217304763960306,11,0.8830222215594883
pi_over_2,-1.2217304763960306,02,0.05848888922025547
pi_over_2,-1.2042771838760873,20,0.06421379363065145
pi_over_2,-1.2042771838760873,11,0.8715724127386965
pi_over_2,-1.2042771838760873,02,0.06421379363065145
pi_over_2,-1.186823891356144,20,0.0701650499153372
pi_over_2,-1.186823891356144,11,0.8596699001693252
pi_over_2,-1.186823891356144,02,0.0701650499153372
pi_over_2,-1.1693705988362006,20,0.07633540738525064
pi_over_2,-1.1693705988362006,11,0.8473291852294981
pi_over_2,-1.1693705988362006,02,0.07633540738525064
pi_over_2,-1.1519173063162573,20,0.08271734841028541
pi_over_2,-1.1519173063162573,11,0.8345653031794285
pi_over_2,-1.1519173063162573,02,0.08271734841028541
pi_over_2,-1.1344640137963142,20,0.08930309757836503
pi_over_2,-1.1344640137963142,11,0.821393804843269
pi_over_2,-1.1344640137963142,02,0.08930309757836503
pi_over_2,-1.1170107212763707,20,0.09608463116858543
pi_over_2,-1.1170107212763707,11,0.8078307376628284
pi_over_2,-1.1170107212763707,02,0.09608463116858543
pi_over_2,-1.0995574287564276,20,0.10305368692688162
pi_over_2,-1.0995574287564276,11,0.793892626146236
pi_over_2,-1.0995574287564276,02,0.10305368692688166
pi_over_2,-1.082104136236484,20,0.11020177413231334
pi_over_2,-1.082104136236484,11,0.7795964517353727
pi_over_2,-1.082104136236484,02,0.11020177413231334
pi_over_2,-1.064650843716541,20,0.11752018394169869
pi_over_2,-1.064650843716541,11,0.7649596321166018
pi_over_2,-1.064650843716541,02,0.11752018394169872
pi_over_2,-1.0471975511965979,20,0.12499999999999986
pi_over_2,-1.0471975511965979,11,0.7499999999999999
pi_over_2,-1.0471975511965979,02,0.12499999999999986
pi_over_2,-1.0297442586766543,20,0.13263210930352728
pi_over_2,-1.0297442586766543,11,0.7347357813929447
pi_over_2,-1.0297442586766543,02,0.13263210930352728
pi_over_2,-1.0122909661567112,20,0.14040721330273048
pi_over_2,-1.0122909661567112,11,0.7191855733945383
pi_over_2,-1.0122909661567112,02,0.14040721330273048
pi_over_2,-0.9948376736367677,20,0.1483158392310499
pi_over_2,-0.9948376736367677,11,0.7033683215378996
pi_over_2,-0.9948376736367677,02,0.1483158392310499
pi_over_2,-0.9773843811168246,20,0.15634835164602187
pi_over_2,-0.9773843811168246,11,0.6873032967079555
pi_over_2,-0.9773843811168246,02,0.1563483516460219
pi_over_2,-0.959931088596881,20,0.16449496416858278
pi_over_2,-0.959931088596881,11,0.6710100716628339
pi_over_2,-0.959931088596881,02,0.1644949641685828
pi_over_2,-0.9424777960769379,20,0.17274575140626303
pi_over_2,-0.9424777960769379,11,0.6545084971874732
pi_over_2,-0.9424777960769379,02,0.17274575140626303
pi_over_2,-0.9250245035569944,20,0.1810906610457502
pi_over_2,-0.9250245035569944,11,0.6378186779084987
pi_over_2,-0.9250245035569944,02,0.1810906610457502
pi_over_2,-0.9075712110370513,20,0.18951952610008294
pi_over_2,-0.9075712110370513,11,0.6209609477998336
pi_over_2,-0.9075712110370513,02,0.18951952610008296
pi_over_2,-0.8901179185171082,20,0.19802207729555993
pi_over_2,-0.8901179185171082,11,0.6039558454088791
pi_over_2,-0.8901179185171082,02,0.19802207729555998
pi_over_2,-0.8726646259971647,20,0.20658795558326734
pi_over_2,-0.8726646259971647,11,0.5868240888334646
pi_over_2,-0.8726646259971647,02,0.20658795558326734
pi_over_2,-0.8552113334772216,20,0.2152067247599834
pi_over_2,-0.8552113334772216,11,0.5695865504800324
pi_over_2,-0.8552113334772216,02,0.2152067247599834
pi_over_2,-0.837758040957278,20,0.2238678841830865
pi_over_2,-0.837758040957278,11,0.5522642316338262
pi_over_2,-0.837758040957278,02,0.22386788418308662
pi_over_2,-0.8203047484373349,20,0.2325608815639685
pi_over_2,-0.8203047484373349,11,0.5348782368720623
pi_over_2,-0.8203047484373349,02,0.2325608815639685
pi_over_2,-0.8028514559173914,20,0.2412751258243746
pi_over_2,-0.8028514559173914,11,0.5174497483512499
pi_over_2,-0.8028514559173914,02,0.24127512582437471
pi_over_2,-0.7853981633974483,20,0.24999999999999978
pi_over_2,-0.7853981633974483,11,0.4999999999999998
pi_over_2,-0.7853981633974483,02,0.24999999999999983
pi_over_2,-0.7679448708775047,20,0.2587248741756251
pi_over_2,-0.7679448708775047,11,0.482550251648749
pi_over_2,-0.7679448708775047,02,0.2587248741756251
pi_over_2,-0.7504915783575616,20,0.26743911843603113
pi_over_2,-0.7504915783575616,11,0.465121763127937
pi_over_2,-0.7504915783575616,02,0.26743911843603113
pi_over_2,-0.7330382858376185,20,0.2761321158169131
pi_over_2,-0.7330382858376185,11,0.4477357683661731
pi_over_2,-0.7330382858376185,02,0.2761321158169131
pi_over_2,-0.715584993317675,20,0.28479327524001613
pi_over_2,-0.715584993317675,11,0.43041344951996696
pi_over_2,-0.715584993317675,02,0.28479327524001613
pi_over_2,-0.6981317007977319,20,0.29341204441673235
pi_over_2,-0.6981317007977319,11,0.41317591116653474
pi_over_2,-0.6981317007977319,02,0.29341204441673235
pi_over_2,-0.6806784082777884,20,0.30197792270443957
pi_over_2,-0.6806784082777884,11,0.39604415459111986
pi_over_2,-0.6806784082777884,02,0.30197792270443974
pi_over_2,-0.6632251157578453,20,0.31048047389991656
pi_over_2,-0.6632251157578453,11,0.37903905220016587
pi_over_2,-0.6632251157578453,02,0.3104804738999167
