group,real_energy,imag_energy,theory_density,ed_density,gamma_ess,state_code
figs2,3.6999999999999993,-0.5133333333333334,-0.1274550746877854,0.0,0.3310516131143097,1
figs2,3.7874999999999996,-0.5133333333333334,-0.12656535094612814,0.0,0.34364569035704184,1
figs2,3.875,-0.5133333333333334,-0.1257490309838598,0.0,0.35613349286975,1
figs2,3.9624999999999995,-0.5133333333333334,-0.12503113060287555,0.0,0.36851476195111144,1
figs2,4.05,-0.5133333333333334,-0.12443132556041064,0.0,0.3807907135915441,1
figs2,4.137499999999999,-0.5133333333333334,-0.12395809609200725,0.0,0.39296562386467526,1
figs2,4.225,-0.5133333333333334,-0.12360676816470074,0.0,0.40504739632420916,1
figs2,4.3125,-0.5133333333333334,-0.12336330993965011,0.0,0.4170468722828731,1
figs2,4.3999999999999995,-0.5133333333333334,-0.12321040849316926,0.0,0.4289763787256153,1
figs2,4.4875,-0.5133333333333334,-0.12313422046328103,0.0,0.4408480769635169,1
figs2,4.574999999999999,-0.5133333333333334,-0.12313149000739032,0.0,0.4526726359989951,1
figs2,4.6625,-0.5133333333333334,-0.12321110283368555,0.0,0.46445906554573324,1
figs2,4.75,-0.5133333333333334,-0.12338666797981496,0.0,0.47621593873513157,1
figs2,4.8374999999999995,-0.5133333333333334,-0.12366708218856656,0.0,0.4879529660497901,1
figs2,4.925,-0.5133333333333334,-0.12405320033998013,0.0,0.49968171890894864,1
figs2,5.012499999999999,-0.5133333333333334,-0.12454273219880434,0.0,0.5114151458137358,1
figs2,5.1,-0.5133333333333334,-0.12513992475554525,0.0,0.5231664712357037,1
figs2,5.1875,-0.5133333333333334,-0.1258613529805325,0.0,0.534948790079253,1
figs2,5.2749999999999995,-0.5133333333333334,-0.12673230527704915,0.0,0.546776247002054,1
figs2,5.3625,-0.5133333333333334,-0.12777787967967055,0.0,0.5586664160011273,1
figs2,5.449999999999999,-0.5133333333333334,-0.12901383780470355,0.0,0.5706430264514876,1
figs2,5.5375,-0.5133333333333334,-0.1304387816370278,0.0,0.582738357278209,1
figs2,5.625,-0.5133333333333334,-0.13203044787993404,0.0,0.594994680053404,1
figs2,5.7124999999999995,-0.5133333333333334,-0.1337473590091792,0.0,0.6074646615663265,1
figs2,5.8,-0.5133333333333334,-0.1355325384436729,0.0,0.6202114465856233,1
figs2,5.887499999999999,-0.5133333333333334,-0.13731416163243249,0.0,0.6333094907168999,1
figs2,5.975,-0.5133333333333334,-0.1389963576326298,0.0,0.6468471424485409,1
figs2,6.0625,-0.5133333333333334,-0.14044968846941233,0.0,0.6609309803501128,1
figs2,6.1499999999999995,-0.5133333333333334,-0.14189932395060964,0.0,0.675689837384847,1
figs2,6.2375,-0.5133333333333334,-0.14818158947055315,0.0,0.6912743106842093,1
figs2,6.324999999999999,-0.5133333333333334,-0.1778974729777296,0.0,0.7078459115098927,1
figs2,6.4125,-0.5133333333333334,-0.22046083211801815,0.0,0.7255497681774705,1
