kx_over_2pi_mod,ky_over_2pi_mod,initial_trace_deviation,exact_trace_deviation,small_q_trace_deviation,initial_half_trace,initial_half_curvature,exact_half_trace,exact_half_curvature,small_q_half_trace,small_q_half_curvature
0.0,0.24113475177304963,0.006265381274401988,5.029763109987317e-05,0.013889738719507945,0.04915000930170157,-0.04288462802729958,0.00010967071957041585,-5.937308847054268e-05,0.05379893749565388,-0.03990919877614593
0.0,0.24822695035460993,0.007333829740103402,5.62778958968217e-05,0.016639539043699227,0.050055424155808964,-0.04272159441570556,0.00011034710340459102,-5.406920750776932e-05,0.05465761352937355,-0.038018074485674326
0.0,0.2553191489361702,0.008573047961179497,6.279196516574691e-05,0.01986882559411598,0.051053824768651,-0.042480776807471504,0.0001113376555981348,-4.854569043238789e-05,0.05566255168772737,-0.035793726093611394
0.0,0.2624113475177305,0.010010950338619477,6.988072603671807e-05,0.023647385437774004,0.05215753055266432,-0.04214658021404484,0.0001126657705970925,-4.278504456037444e-05,0.05684562779880546,-0.03319824236103146
0.0,0.2695035460992908,0.011680513835358286,7.759006192670337e-05,0.028052187118267888,0.05338095772694295,-0.041700443891584664,0.0001143564705954155,-3.676640866871214e-05,0.05824347947184053,-0.030191292353572645
0.0,0.2765957446808511,0.013620825317955478,8.597186753221065e-05,0.03316747861886714,0.05474104694564144,-0.041120221627685964,0.0001164368129819062,-3.0464945449695535e-05,0.05989769037718006,-0.02673021175831292
0.0,0.28368794326241137,0.01587837350764923,9.508526899204014e-05,0.039084714205991355,0.056257792425183306,-0.04037941891753408,0.000118936387779166,-2.3851118787125853e-05,0.0618548675873379,-0.022770153381346546
0.0,0.2907801418439716,0.018508648903758113,0.00010499809073592614,0.04590226178943991,0.05795489981796073,-0.03944625091420262,0.0001218879234261058,-1.6889832690179657e-05,0.06416658225506144,-0.018264320465621535
0.0,0.2978723404255319,0.021578132897452182,0.00011578861941873581,0.05372483506246854,0.05986060811431482,-0.038282475216862635,0.00012532802351164312,-9.5394040929073e-06,0.06688914060580116,-0.013164305543332616
0.0,0.3049645390070922,0.025166780378926293,0.00012754772599612473,0.06266258739805487,0.06200872149129383,-0.036841941112367535,0.00012929806236100776,-1.750336364883049e-06,0.07008314921582885,-0.00742056181777398
0.0,0.3120567375886525,0.029371130132410717,0.00012730912819935075,0.07282979784542852,0.06443991101044429,-0.03506878087803357,0.00013384527391533942,6.5361457159886525e-06,0.07381283612274285,-0.0009830382773143365
0.0,0.3191489361702128,0.03430821606038101,0.0001236342309199266,0.07194710134017396,0.06720336458090581,-0.0328951485205248,0.00013902407635018186,1.538984543025528e-05,0.07814508787132099,0.006197986531147032
0.0,0.3262411347517731,0.04012050232112239,0.00012000400375394804,0.06897732820009879,0.07035888798142602,-0.03023838566030363,0.00014489768452550443,2.4893680771556386e-05,0.08314816266699429,0.014170834466895498
0.0,0.3333333333333333,0.046982129478738005,0.00011639390646125885,0.06590895905875811,0.07397959183678106,-0.026997462358043053,0.00015154007370873085,3.514616724747201e-05,0.08889004207705879,0.022981083018300676
0.0,0.3404255319148936,0.05510683991260356,0.00011277401094552154,0.0627664798727575,0.07815534134924021,-0.02304850143663665,0.00015903837082905265,4.626435988353111e-05,0.0954363890354052,0.0326699091626477
0.0,0.3475177304964539,0.06475805148362831,0.00010910844624009338,0.059575998312837886,0.08299719975690147,-0.018239148273273158,0.00016749576298535763,5.838731674526425e-05,0.1028480892750908,0.043272090962252915
0.0,0.3546099290780142,0.07626166991913146,0.00010535488896419122,0.05636472100707185,0.08864316510323972,-0.012381495184108261,0.00017703502506321206,7.168013609902084e-05,0.11117836785678428,0.05481364684971243
