time,exact_dirichlet_energy,small_q_dirichlet_energy,exact_chern_solid_angle,small_q_chern_solid_angle,exact_chern_mesh_integral,small_q_chern_mesh_integral,exact_centered_dirichlet_energy,small_q_centered_dirichlet_energy,exact_centered_chern_mesh_integral,small_q_centered_chern_mesh_integral,exact_opposite_curvature_fraction,small_q_opposite_curvature_fraction,exact_max_norm_error,small_q_max_norm_error
4.48,3.135244298350958,5.01837910623166,1.0,1.0000000000000002,0.9841217409576225,1.0,2.3295777693876856,5.014224802070998,0.7157092772680973,0.9991435653988546,0.35335244706000707,0.3267944268396962,2.220446049250313e-16,2.220446049250313e-16
4.5200000000000005,3.130401340602158,5.015146751509007,1.0000000000000002,1.0000000000000002,0.9780274890935211,1.0,2.2723169085964003,5.011002280359078,0.694056278000546,0.9991454099319588,0.35335244706000707,0.3263920325939339,2.220446049250313e-16,2.220446049250313e-16
4.5600000000000005,3.1239855298936337,5.011933440739284,1.0000000000000002,1.0,0.9701759985842798,1.0000000000000002,2.2127460674266426,5.007798693167619,0.6712918410180515,0.9991472317230377,0.35295005281424474,0.32598963834817163,2.220446049250313e-16,2.220446049250313e-16
4.6000000000000005,3.1155876598320504,5.008738928312044,1.0000000000000002,1.0,0.9602621220523618,1.0,2.1509693169521493,5.004613796716892,0.6474438357509614,0.9991490311219838,0.35295005281424474,0.3257884412252905,2.220446049250313e-16,2.220446049250313e-16
4.64,3.104747945078018,5.005562973003372,1.0,1.0000000000000002,0.9479854255328073,1.0,2.0871159589886754,5.001447351569749,0.6225569022903744,0.9991508084705553,0.35254765856848247,0.32558724410240936,2.220446049250313e-16,2.220446049250313e-16
4.68,3.090964402479412,5.002405337869365,1.0,1.0000000000000002,0.9330665370772021,1.0,2.021340793185204,4.9982991225264835,0.5966944390794354,0.9991525641026213,0.35254765856848247,0.32518484985664703,2.220446049250313e-16,2.220446049250313e-16
4.72,3.0737054234708525,4.9992657901431325,1.0000000000000004,1.0000000000000002,0.915264756346146,1.0,1.9538239322673618,4.99516887852316,0.5699402556266758,0.9991542983444045,0.3517428700769579,0.32478245561088476,2.220446049250313e-16,2.220446049250313e-16
4.76,3.0524263360006247,4.996144101135149,1.0000000000000002,1.0,0.8943956466644365,1.0,1.8847700835246737,4.9920563925332315,0.5423996752007786,0.9991560115147082,0.3509380815854333,0.3239776671193602,2.220446049250313e-16,2.220446049250313e-16
4.8,3.0265893754135633,4.993040046136828,1.0000000000000002,1.0,0.8703471780287728,1.0,1.8144072236928661,4.988961441472351,0.5141998703985226,0.9991577039251411,0.3513404758311956,0.3237764699964791,2.220446049250313e-16,2.220446049250313e-16
4.84,2.995686115691701,4.9899534043271885,0.9999999999999999,1.0000000000000002,0.8430929794717241,1.0,1.7429846135620237,4.985883806106208,0.48548923904266955,0.9991593758803305,0.3513404758311956,0.3231728786278356,2.220446049250313e-16,2.220446049250313e-16
