chi_over_J,gamma_c,eta_c_over_J,eta_c_raw_finite_chain,thermodynamic_alias_corrected
0.0,0.7675000000000001,0.3142079456858872,0.3142079456858872,0
0.0,0.77,0.3114426364580611,0.3114426364580611,0
0.0,0.7725,0.30865811410318617,0.30865811410318617,0
0.0,0.775,0.30585454370193116,0.30585454370193116,0
0.0,0.7775,0.3030320918799741,0.3030320918799741,0
0.0,0.78,0.30019092995414054,0.30019092995414054,0
0.0,0.7825,0.2973312354468494,0.2973312354468494,0
0.0,0.785,0.2944531910913012,0.2944531910913012,0
0.0,0.7875,0.2915569816821655,0.2915569816821655,0
0.0,0.79,0.2886427902516837,0.2886427902516837,0
0.0,0.7925,0.2857107954872261,0.2857107954872261,0
0.0,0.795,0.282761171787867,0.282761171787867,0
0.0,0.7975,0.279794092090835,0.279794092090835,0
0.0,0.8,0.27680973218553717,0.27680973218553717,0
0.0,0.8025,0.2738082743878706,0.2738082743878706,0
0.0,0.805,0.2707899086397612,0.2707899086397612,0
0.0,0.8075,0.26775483029600217,0.26775483029600217,0
0.0,0.81,0.2647032355134666,0.2647032355134666,0
0.0,0.8125,0.26163531644865284,0.26163531644865284,0
0.0,0.8150000000000001,0.2585512587125596,0.2585512587125596,0
0.0,0.8175,0.2554512425337641,0.2554512425337641,0
0.0,0.8200000000000001,0.25233544727111584,0.25233544727111584,0
0.0,0.8225,0.24920405717108499,0.24920405717108499,0
0.0,0.8250000000000001,0.2460572654820396,0.2460572654820396,0
0.0,0.8275,0.24289527468565641,0.24289527468565641,0
0.0,0.8300000000000001,0.23971829244949014,0.23971829244949014,0
0.0,0.8325,0.23652652508014563,0.23652652508014563,0
0.0,0.835,0.23332017166943297,0.23332017166943297,0
0.0,0.8375,0.2300994219971344,0.2300994219971344,0
0.0,0.84,0.22686445954040702,0.22686445954040702,0
0.0,0.8425,0.22361546840785265,0.22361546840785265,0
0.0,0.845,0.22035264090719778,0.22035264090719778,0
0.0,0.8475,0.2170761818831263,0.2170761818831263,0
0.0,0.85,0.21378630733393844,0.21378630733393844,0
0.0,0.8525,0.21048323757224377,0.21048323757224377,0
0.0,0.855,0.20716718802475909,0.20716718802475909,0
0.0,0.8575,0.20383836222184892,0.20383836222184892,0
0.0,0.86,0.20049695075561064,0.20049695075561064,0
