field_g,momentum_k,energy
1.5,2.564815877344792,4.801947153671941
1.5,2.5893595699509624,4.81832567571591
1.5,2.6139032625571326,4.834012233482558
1.5,2.6384469551633027,4.849004138000387
1.5,2.662990647769473,4.863298823312653
1.5,2.6875343403756435,4.876893846325491
1.5,2.7120780329818137,4.889786886673719
1.5,2.736621725587984,4.901975746602658
1.5,2.761165418194154,4.913458350864347
1.5,2.7857091108003242,4.924232746626716
1.5,2.8102528034064944,4.934297103394389
1.5,2.834796496012665,4.943649712939856
1.5,2.859340188618835,4.952288989243942
1.5,2.8838838812250054,4.9602134684445005
1.5,2.9084275738311756,4.967421808792436
1.5,2.9329712664373457,4.973912790614199
1.5,2.9575149590435164,4.979685316279995
1.5,2.9820586516496865,4.984738410177038
1.5,3.0066023442558567,4.989071218687237
1.5,3.031146036862027,4.992683010168808
1.5,3.055689729468197,4.995573174941323
1.5,3.0802334220743677,4.9977412252738525
1.5,3.104777114680538,4.999186795375843
1.5,3.129320807286708,4.999909641390506
2.0,0.01227184630308513,2.0003011699675843
2.0,0.03681553890925539,2.0027086274808945
2.0,0.06135923151542565,2.0075134354712585
2.0,0.0859029241215959,2.0146955613877626
2.0,0.11044661672776616,2.0242254024594946
2.0,0.1349903093339364,2.0360642998578213
2.0,0.1595340019401067,2.0501651907771397
2.0,0.18407769454627693,2.0664733729473843
2.0,0.2086213871524472,2.0849273532873895
2.0,0.23316507975861744,2.105459751387102
2.0,0.25770877236478773,2.1279982291539548
2.0,0.28225246497095796,2.1524664200286487
2.0,0.30679615757712825,2.17878483433608
2.0,0.3313398501832985,2.206871721217991
2.0,0.35588354278946877,2.236643871830918
2.0,0.380427235395639,2.2680173527617793
2.0,0.4049709280018093,2.3009081626521026
2.0,0.4295146206079795,2.335232808640638
2.0,0.4540583132141498,2.37090880231542
2.0,0.47860200582032003,2.4078550773570937
2.0,0.5031456984264903,2.4459923329547655
2.0,0.5276893910326605,2.485243308421655
2.0,0.5522330836388308,2.5255329952934207
2.0,0.5767767762450011,2.5667887936335143
2.0,0.6013204688511713,2.608940619377834
2.0,0.6258641614573416,2.651920969402837
2.0,0.6504078540635119,2.69566495066762
2.0,0.6749515466696822,2.740110279322073
2.0,0.6994952392758523,2.785197255140227
2.0,0.7240389318820226,2.8308687160701487
2.0,0.7485826244881929,2.8770699771193256
2.0,0.7731263170943632,2.923748757239394
2.0,0.7976700097005334,2.970855097351002
2.0,0.8222137023067037,3.018341272168002
2.0,0.8467573949128739,3.0661616980448456
2.0,0.8713010875190442,3.1142728386837493
2.0,0.8958447801252144,3.162633110198181
2.0,0.9203884727313847,3.211202786734402
2.0,0.944932165337555,3.2599439075997885
2.0,0.9694758579437253,3.3088201866318134
2.0,0.9940195505498954,3.3577969243608607
2.0,1.0185632431560658,3.406840923369405
2.0,1.043106935762236,3.4559204071257943
2.0,1.0676506283684062,3.5050049424692733
2.0,1.0921943209745766,3.554065365840668
2.0,1.1167380135807468,3.6030737132875252
2.0,1.141281706186917,3.652003154220681
2.0,1.1658253987930873,3.7008279288590584
2.0,1.1903690913992575,3.749523289268997
2.0,1.214912784005428,3.798065443881799
2.0,1.239456476611598,3.846431505357114
2.0,1.2640001692177683,3.8945994416489547
2.0,1.2885438618239387,3.942548030124573
