generator,instance,phase_index,eigenphase
qr_haar,5,17,3.596294808195281
qr_haar,5,18,3.7323518060329066
qr_haar,5,19,4.071100512564378
qr_haar,5,20,4.373130508038553
qr_haar,5,21,4.428003590338015
qr_haar,5,22,4.64980679703733
qr_haar,5,23,4.828562647770166
qr_haar,5,24,4.954352337148617
qr_haar,5,25,5.047198300635223
qr_haar,5,26,5.342989631218305
qr_haar,5,27,5.485479264045614
qr_haar,5,28,5.684593208677757
qr_haar,5,29,5.8185043837851484
qr_haar,5,30,6.090675011803609
qr_haar,5,31,6.164442573390788
qr_haar,6,0,0.010401942919727913
qr_haar,6,1,0.1846432249896524
qr_haar,6,2,0.4078268129807065
qr_haar,6,3,0.4819564539805003
qr_haar,6,4,0.8063916181765766
qr_haar,6,5,0.9959514255241979
qr_haar,6,6,1.213329946667526
qr_haar,6,7,1.2910190001277495
qr_haar,6,8,1.4482181463288506
qr_haar,6,9,1.8912227461280586
qr_haar,6,10,2.0060590590901906
qr_haar,6,11,2.1059631210973726
qr_haar,6,12,2.2119774128698424
qr_haar,6,13,2.545411813619976
qr_haar,6,14,2.6906671329207255
qr_haar,6,15,3.06763033156093
qr_haar,6,16,3.1064444149050883
qr_haar,6,17,3.474399049892666
qr_haar,6,18,3.5189766835392735
qr_haar,6,19,3.7353634850588135
qr_haar,6,20,3.9459183965409936
qr_haar,6,21,4.152958418955232
qr_haar,6,22,4.224719780665347
qr_haar,6,23,4.461669574183911
qr_haar,6,24,4.633846766419223
qr_haar,6,25,4.726100124839673
qr_haar,6,26,4.972699290811368
qr_haar,6,27,5.106338716377314
qr_haar,6,28,5.160074792526627
qr_haar,6,29,5.699312394547047
qr_haar,6,30,5.800289431385672
qr_haar,6,31,5.98424803711534
qr_haar,7,0,0.1697490173463526
qr_haar,7,1,0.48945962560557255
qr_haar,7,2,0.8599323720150281
qr_haar,7,3,0.9667369881907185
qr_haar,7,4,1.121416008943381
qr_haar,7,5,1.395328549217972
qr_haar,7,6,1.5655322974177086
qr_haar,7,7,1.7330316389277554
qr_haar,7,8,1.9564199043504622
qr_haar,7,9,2.1702300614466075
qr_haar,7,10,2.302968998238641
qr_haar,7,11,2.478645393349205
qr_haar,7,12,2.623107422852022
qr_haar,7,13,2.813431766735556
qr_haar,7,14,2.978791522239856
qr_haar,7,15,3.223436664049069
qr_haar,7,16,3.514611567029784
qr_haar,7,17,3.648941817256818
qr_haar,7,18,3.7181306906363694
qr_haar,7,19,3.8893825871707053
qr_haar,7,20,4.0138833872992965
qr_haar,7,21,4.175795364179794
qr_haar,7,22,4.368995720259392
qr_haar,7,23,4.643494735915918
qr_haar,7,24,5.0072106589428165
qr_haar,7,25,5.127096027216052
qr_haar,7,26,5.312543206503682
qr_haar,7,27,5.561578587065582
qr_haar,7,28,5.620542301619822
qr_haar,7,29,5.888990429401473
qr_haar,7,30,6.060930144660249
qr_haar,7,31,6.238831540344129
qr_haar,8,0,0.006572446514934039
qr_haar,8,1,0.17309761349657107
qr_haar,8,2,0.3691087433484072
qr_haar,8,3,0.6427267837709939
qr_haar,8,4,0.7394640847056384
qr_haar,8,5,0.9544940386557202
qr_haar,8,6,1.2315236199009234
qr_haar,8,7,1.4262534677688228
qr_haar,8,8,1.5676856331023263
qr_haar,8,9,1.6864860110918738
qr_haar,8,10,2.165586382515474
qr_haar,8,11,2.203422458436444
qr_haar,8,12,2.2939804319281434
