state_index_1_based,graph_E_probability,graph_F_probability
495,3.755597987951353e-05,3.10816378252859e-10
496,1.5396653459532816e-07,1.4694703426120928e-07
497,1.0144024906317633e-10,2.0334264042505654e-09
498,1.1544467911362703e-05,5.042692177839991e-06
499,1.0144024905996505e-10,1.7196134132467258e-08
500,5.9776391525976e-10,3.08225368430435e-11
501,5.648236752313029e-08,3.5073810258519804e-07
502,1.1544467911352024e-05,5.853060983305184e-06
503,5.648236752311122e-08,8.658763166621615e-07
504,0.20149521579464677,5.127944431665643e-07
505,1.0556033559789785e-08,1.4099656722581135e-07
506,2.11685586441416e-05,1.6037763923575553e-05
507,2.117146218944971e-08,2.694455988820994e-09
508,2.1168558644133155e-05,2.1038655964729358e-07
509,0.00012641510335620202,8.658347270874057e-07
510,1.549902163347305e-08,2.0279929726268483e-07
511,2.1171462189493552e-08,2.5649081063072975e-09
512,1.5499021633570876e-08,9.260402072859945e-07
513,3.83684293923147e-08,2.445229729137493e-12
514,6.062331112229318e-07,4.573951636887993e-06
515,9.241985523223257e-07,6.95380778768197e-06
516,1.1544467911344031e-05,5.0426921778360816e-06
517,2.359161034588231e-08,1.0515205312744212e-09
518,8.168902515032407e-09,1.5871542552308858e-09
519,5.648236752316759e-08,1.8546393036023298e-07
520,9.145448835064132e-07,0.00016882090786231397
521,0.00024210624748208492,0.23694887301379325
522,0.20149521579463575,1.8777887438065428e-06
523,6.596833691811093e-09,2.8712535588995935e-09
524,4.00046110157233e-09,4.899574327757081e-09
525,5.4646190409257546e-05,5.0047893526275356e-08
526,3.432132925951729e-13,8.852301800936339e-12
527,3.999105512364772e-12,1.1620427768244732e-12
528,2.1711349058659034e-09,3.0411516401204944e-10
529,4.3597504758020004e-07,5.562375898328399e-07
530,5.740038815205817e-08,2.094291491668739e-07
531,0.0017090062615218607,1.4098581836667234e-06
532,1.1635564968030344e-06,6.458356965373426e-05
533,0.06467487790567047,0.09553650823947983
534,1.876872253961681e-07,5.585998252221635e-07
535,1.706035222764649e-09,4.781369325647128e-06
536,2.3526983632765704e-08,1.3474858278854376e-06
537,5.619839031283414e-10,8.489821429070699e-07
538,3.654215021916352e-07,8.342474005320528e-07
539,9.030722963124107e-05,1.880982526801922e-05
540,1.1718450486014782e-06,1.0796799006862837e-09
541,1.1724229855533929e-09,2.477881482649747e-10
542,1.4625940283405416e-08,5.513115326513805e-09
543,2.1171462189433194e-08,2.694455988820127e-09
544,2.8586246900643245e-08,6.043506889586854e-09
545,1.7720567343248018e-07,7.085241206388349e-10
546,1.5499021633495877e-08,1.8275051138358113e-06
547,2.3020964079120284e-11,5.178211020788394e-11
548,6.828860767579573e-13,1.1954956215608102e-09
549,3.8368429392307125e-08,2.5293764003605965e-13
550,4.098096757930795e-08,2.0845457896560214e-09
551,9.555906954690027e-12,8.238678850145799e-10
552,1.8768722539561817e-07,5.585998252227191e-07
553,7.003135354904134e-10,1.9794273740408668e-09
554,3.398553992297155e-11,2.477197660334575e-11
555,5.619839031232535e-10,1.3097528426516466e-06
556,3.03092152100886e-10,1.6757958196765748e-09
557,4.86375529947767e-12,5.179448522382023e-09
558,1.1718450486021575e-06,7.174924687358917e-12
559,4.1977116301679144e-11,6.408576203650279e-11
