state_index_1_based,graph_G_probability,graph_H_probability,graph_I_probability
29,0.052758386278461925,3.6374428799512264e-06,9.552191965561258e-08
30,0.00015862309547273452,3.0881919767034126e-05,3.8262604454285466e-07
31,1.5469776479962736e-07,1.2447726505276062e-11,3.20112105493106e-09
32,8.33278594792541e-14,7.074301237938141e-11,4.10997680731921e-10
33,6.286970879361032e-10,2.471767594467982e-10,2.1184375000616557e-08
34,0.0030108563828718502,6.920280693822632e-10,1.4964676848505296e-06
35,3.4789723913273296e-08,9.253286718159933e-10,1.2228361530861986e-07
36,9.159194130087476e-06,1.2851098424870552e-05,3.819254257280306e-08
37,2.829615858721362e-11,3.0111774343602877e-06,2.118437500060766e-08
38,1.8037165643197571e-12,1.3669529542692549e-11,9.777536080314251e-08
39,2.1397911088029235e-08,0.013870552598796833,2.011011215133167e-05
40,2.2381198206306331e-10,0.0001499936539386635,8.036338503860741e-08
41,2.4905342625118885e-05,1.9957610162850144e-06,9.552191965554415e-08
42,2.1555740099210135e-08,5.397502120413581e-08,1.4964676848506808e-06
43,4.307194569921602e-11,0.00015814041866104054,2.011011215133082e-05
44,5.020511877962116e-10,4.4801535252107956e-11,6.7312741529597645e-09
45,1.1445122736661959e-08,8.702570725240602e-06,2.0159747096781667e-06
46,1.7187043978479438e-06,6.852336765989598e-07,3.826260445423467e-07
47,3.450741958585202e-11,1.6655421906121526e-05,1.2228361530878297e-07
48,6.4056070934815455e-09,6.069869100025625e-05,8.036338503863726e-08
49,1.2186022113684268e-08,1.2483525278545902e-06,2.0159747096793944e-06
50,8.218888689613519e-13,1.4800586676798146e-10,2.067464431104506e-09
51,1.1374886620195708e-05,2.229632642961203e-05,2.2772754096985363e-09
52,2.069046706992192e-05,1.5653933716700807e-05,3.819254257284344e-08
53,5.443279594829465e-11,6.295749821428845e-06,1.695831948599911e-08
54,7.022591474711421e-09,5.638768782544766e-07,1.374579003191172e-06
55,4.1520220416728293e-07,9.153590920663818e-06,3.074481560219676e-06
56,9.159194130093684e-06,1.285109842486702e-05,3.819254257282036e-08
57,2.8296158587200412e-11,2.471767594467534e-10,2.118437500059493e-08
58,1.803716564320736e-12,5.146247290085649e-06,9.777536080312577e-08
59,2.1397911088084513e-08,2.7489691185251456e-05,2.011011215133094e-05
60,2.2381198206258401e-10,0.0004386514978498422,8.036338503861006e-08
61,4.140565007759233e-08,2.951173708947026e-10,1.6958319486011952e-08
62,2.4698915214192955e-08,1.3669529542720117e-11,9.777536080314188e-08
63,2.2720699412587254e-14,1.2040556955096343e-12,3.575519386745093e-11
64,1.2596172584614182e-12,2.575656969208781e-08,9.718545194510245e-06
65,1.5010794241570744e-08,1.1099503700235341e-10,1.7565863567428164e-06
66,1.4522629680750198e-05,0.00011952471764772792,1.3745790031916297e-06
67,9.022332549406604e-07,0.00015814041866103713,2.0110112151328808e-05
68,2.598695241781744e-14,0.001293411501270946,9.718545194510547e-06
69,2.4368801430282192e-11,1.3509211761069472e-08,1.36051707255883e-08
70,3.735437740412982e-11,1.553466933398972e-06,8.277168143873812e-05
71,3.831411018569563e-05,1.3830988743139661e-05,3.0744815602191664e-06
72,7.580272915516493e-11,6.069869100025445e-05,8.036338503871703e-08
73,2.8902383405864583e-12,0.00028113052640568736,1.7565863567423243e-06
74,7.177375088964314e-11,6.09536934447543e-06,8.277168143872843e-05
75,2.757169633868621e-12,6.157408793299583e-10,8.733944077168051e-11
76,4.6806081906901345e-05,4.44439646737458e-05,3.325267103542092e-05
77,0.06302512060561899,3.6374428799512823e-06,9.552191965557659e-08
78,2.2958821913284254e-09,5.638768782545759e-07,1.37457900319231e-06
79,3.1066346241126444e-08,1.4420162569138454e-08,1.600524108748891e-07
80,6.668986635699984e-09,1.6075751045090636e-06,3.14157663282944e-07
81,2.49053426251016e-05,1.9957610162848907e-06,9.552191965561516e-08
82,2.1555740099206968e-08,6.920280693821232e-10,1.496467684850487e-06
83,4.307194569935408e-11,2.7489691185247753e-05,2.0110112151331935e-05
84,5.020511877966536e-10,2.1539357574245718e-09,6.731274152975335e-09
85,1.144512273666856e-08,0.00010378283696473945,2.0159747096798294e-06
86,1.452262968074425e-05,0.00011952471764777134,1.3745790031916968e-06
87,9.022332549406336e-07,0.013870552598796874,2.011011215132992e-05
