series_id,time_kappa,sz_over_N,generated_N,paper_series_N,parameter_match
finite_N_8,27.300000000000001,-0.040788047614809496,8,"40,80,160",reduced_scale
finite_N_8,27.400000000000002,-0.040792085161689196,8,"40,80,160",reduced_scale
finite_N_8,27.5,-0.040796300424977769,8,"40,80,160",reduced_scale
finite_N_8,27.600000000000001,-0.040800627204568625,8,"40,80,160",reduced_scale
finite_N_8,27.700000000000003,-0.040805002042219055,8,"40,80,160",reduced_scale
finite_N_8,27.800000000000001,-0.040809364874878323,8,"40,80,160",reduced_scale
finite_N_8,27.900000000000002,-0.040813659602358679,8,"40,80,160",reduced_scale
finite_N_8,28,-0.040817834567380099,8,"40,80,160",reduced_scale
finite_N_8,28.100000000000001,-0.040821842947284283,8,"40,80,160",reduced_scale
finite_N_8,28.200000000000003,-0.040825643057910845,8,"40,80,160",reduced_scale
finite_N_8,28.300000000000001,-0.04082919857124255,8,"40,80,160",reduced_scale
finite_N_8,28.400000000000002,-0.040832478649446849,8,"40,80,160",reduced_scale
finite_N_8,28.5,-0.040835457998865371,8,"40,80,160",reduced_scale
finite_N_8,28.600000000000001,-0.040838116848321782,8,"40,80,160",reduced_scale
finite_N_8,28.700000000000003,-0.040840440856825602,8,"40,80,160",reduced_scale
finite_N_8,28.800000000000001,-0.040842420956350878,8,"40,80,160",reduced_scale
finite_N_8,28.900000000000002,-0.040844053135853223,8,"40,80,160",reduced_scale
finite_N_8,29,-0.040845338173063572,8,"40,80,160",reduced_scale
finite_N_8,29.100000000000001,-0.040846281320864972,8,"40,80,160",reduced_scale
finite_N_8,29.200000000000003,-0.040846891955217714,8,"40,80,160",reduced_scale
finite_N_8,29.300000000000001,-0.040847183191658865,8,"40,80,160",reduced_scale
finite_N_8,29.400000000000002,-0.04084717147736569,8,"40,80,160",reduced_scale
finite_N_8,29.5,-0.040846876165649804,8,"40,80,160",reduced_scale
finite_N_8,29.600000000000001,-0.040846319079539235,8,"40,80,160",reduced_scale
finite_N_8,29.700000000000003,-0.040845524070829926,8,"40,80,160",reduced_scale
finite_N_8,29.800000000000001,-0.040844516580640325,8,"40,80,160",reduced_scale
finite_N_8,29.900000000000002,-0.040843323207101129,8,"40,80,160",reduced_scale
finite_N_8,30,-0.04084197128536219,8,"40,80,160",reduced_scale
finite_N_8,30.100000000000001,-0.040840488484611789,8,"40,80,160",reduced_scale
finite_N_8,30.200000000000003,-0.040838902426279744,8,"40,80,160",reduced_scale
finite_N_8,30.300000000000001,-0.040837240327060043,8,"40,80,160",reduced_scale
finite_N_8,30.400000000000002,-0.040835528669832338,8,"40,80,160",reduced_scale
finite_N_8,30.5,-0.040833792905002206,8,"40,80,160",reduced_scale
finite_N_8,30.600000000000001,-0.040832057184226556,8,"40,80,160",reduced_scale
finite_N_8,30.700000000000003,-0.040830344127941121,8,"40,80,160",reduced_scale
