theta,phi,probability
0,0.23561944901923448,9.5367431640624979e-07
0,0.26179938779914913,9.5367431640624979e-07
0,0.28797932657906422,9.5367431640624979e-07
0,0.31415926535897931,9.5367431640624979e-07
0,0.34033920413889396,9.5367431640624979e-07
0,0.36651914291880905,9.5367431640624979e-07
0,0.39269908169872414,9.5367431640624979e-07
0,0.41887902047863879,9.5367431640624979e-07
0,0.44505895925855388,9.5367431640624979e-07
0,0.47123889803846897,9.5367431640624979e-07
0,0.49741883681838361,9.5367431640624979e-07
0,0.5235987755982987,9.5367431640624979e-07
0,0.5497787143782138,9.5367431640624979e-07
0,0.57595865315812844,9.5367431640624979e-07
0,0.60213859193804353,9.5367431640624979e-07
0,0.62831853071795862,9.5367431640624979e-07
0,0.65449846949787327,9.5367431640624979e-07
0,0.68067840827778836,9.5367431640624979e-07
0,0.70685834705770345,9.5367431640624979e-07
0,0.7330382858376181,9.5367431640624979e-07
0,0.75921822461753319,9.5367431640624979e-07
0,0.78539816339744828,9.5367431640624979e-07
0,0.81157810217736293,9.5367431640624979e-07
0,0.83775804095727802,9.5367431640624979e-07
0,0.86393797973719266,9.5367431640624979e-07
0,0.89011791851710775,9.5367431640624979e-07
0,0.91629785729702284,9.5367431640624979e-07
0,0.94247779607693793,9.5367431640624979e-07
0,0.96865773485685303,9.5367431640624979e-07
0,0.99483767363676723,9.5367431640624979e-07
0,1.0210176124166823,9.5367431640624979e-07
0,1.0471975511965974,9.5367431640624979e-07
0,1.0733774899765125,9.5367431640624979e-07
0,1.0995574287564276,9.5367431640624979e-07
0,1.1257373675363427,9.5367431640624979e-07
0,1.1519173063162569,9.5367431640624979e-07
0,1.178097245096172,9.5367431640624979e-07
0,1.2042771838760871,9.5367431640624979e-07
0,1.2304571226560022,9.5367431640624979e-07
0,1.2566370614359172,9.5367431640624979e-07
0,1.2828170002158323,9.5367431640624979e-07
0,1.3089969389957465,9.5367431640624979e-07
0,1.3351768777756616,9.5367431640624979e-07
0,1.3613568165555767,9.5367431640624979e-07
0,1.3875367553354918,9.5367431640624979e-07
0,1.4137166941154069,9.5367431640624979e-07
0,1.439896632895322,9.5367431640624979e-07
0,1.4660765716752362,9.5367431640624979e-07
0,1.4922565104551513,9.5367431640624979e-07
0,1.5184364492350664,9.5367431640624979e-07
0,1.5446163880149815,9.5367431640624979e-07
