EJ_over_EC,offset_charge,level,energy_GHz,EC_GHz,EJ_GHz
2.0,0.9625000000000001,1,5.295500967404791,1.25,2.5
2.0,0.9625000000000001,2,6.209988096098767,1.25,2.5
2.0,0.9750000000000001,0,0.0,1.25,2.5
2.0,0.9750000000000001,1,5.3796275520168475,1.25,2.5
2.0,0.9750000000000001,2,6.121835539906003,1.25,2.5
2.0,0.9875,0,0.0,1.25,2.5
2.0,0.9875,1,5.441484493112071,1.25,2.5
2.0,0.9875,2,6.057570611576911,1.25,2.5
2.0,1.0,0,0.0,1.25,2.5
2.0,1.0,1,5.465204221382357,1.25,2.5
2.0,1.0,2,6.033049483553125,1.25,2.5
10.0,-1.0,0,0.0,0.5590169943749475,5.5901699437494745
10.0,-1.0,1,4.415958361857827,0.5590169943749475,5.5901699437494745
10.0,-1.0,2,7.406503231173532,0.5590169943749475,5.5901699437494745
