frequency_mhz,intensity
-25.549999999999997,1.1537536154915778e-05
-25.5,1.0031954596054423e-05
-25.45,8.715388777240333e-06
-25.4,7.5651360700769245e-06
-25.349999999999998,6.561083159328788e-06
-25.299999999999997,5.685428575147814e-06
-25.25,4.922432713335601e-06
-25.2,4.258192893922587e-06
-25.15,3.6804411942846633e-06
-25.099999999999998,3.178362968622799e-06
-25.049999999999997,2.742434131026391e-06
-25.0,2.3642754347009515e-06
-24.95,2.036522125512031e-06
-24.9,1.752707484062354e-06
-24.849999999999998,1.507158897398825e-06
-24.799999999999997,1.294905219496339e-06
-24.75,1.1115942892555623e-06
-24.7,9.534195762743612e-07
-24.65,8.170550185062528e-07
-24.599999999999998,6.995972025079276e-07
-24.549999999999997,5.985141167091623e-07
-24.5,5.115997814132226e-07
-24.45,4.369341264524703e-07
-24.4,3.7284754896993616e-07
-24.349999999999998,3.178896400508871e-07
-24.299999999999997,2.7080162025415516e-07
-24.25,2.3049207084212303e-07
-24.2,1.960155900170341e-07
-24.15,1.665540420605229e-07
-24.099999999999998,1.4140010224683256e-07
-24.049999999999997,1.1994283204649205e-07
-24.0,1.0165504772720574e-07
-23.95,8.608227124757379e-08
-23.9,7.283307556577229e-08
-23.849999999999998,6.157065737221054e-08
-23.799999999999997,5.200548901041572e-08
-23.75,4.388891816635118e-08
-23.7,3.700759896184196e-08
-23.65,3.117865154758524e-08
-23.599999999999998,2.624545930731204e-08
-23.549999999999997,2.2074023496887775e-08
-23.5,1.854980467857862e-08
-23.45,1.5574988788767187e-08
-23.4,1.3066123204229742e-08
-23.349999999999998,1.0952074845359622e-08
-23.299999999999997,9.17226826332903e-09
-23.25,7.675166882767347e-09
-23.2,6.416965185209487e-09
-23.15,5.360463687448892e-09
-23.099999999999998,4.474102152680479e-09
-23.049999999999997,3.731129624742029e-09
-23.0,3.108892645211898e-09
-22.95,2.5882254430538266e-09
-22.9,2.1529280158502998e-09
-22.849999999999998,1.7893198852831226e-09
-22.799999999999997,1.4858589385483641e-09
-22.75,1.2328161895985418e-09
-22.7,1.0219985342305996e-09
-22.65,8.465126530759285e-10
-22.599999999999998,7.005641560247785e-10
-22.549999999999997,5.792868778440332e-10
-22.5,4.785979430426341e-10
-22.45,3.9507483194513255e-10
-22.4,3.258512113985354e-10
-22.349999999999998,2.6852875309057447e-10
-22.299999999999997,2.2110255936348963e-10
-22.25,1.8189815880673325e-10
-22.2,1.4951832894738276e-10
-22.15,1.2279825728699148e-10
-22.099999999999998,1.0076777023354533e-10
-22.049999999999997,8.261954693217452e-11
-22.0,6.768239578295642e-11
-21.95,5.5398809186728406e-11
-21.9,4.530612994637806e-11
-21.849999999999998,3.702076352296717e-11
-21.799999999999997,3.022495639160685e-11
-21.75,2.4655734131137067e-11
-21.7,2.009565540650967e-11
-21.65,1.636509121262586e-11
-21.599999999999998,1.3315783980981762e-11
-21.549999999999997,1.0825479559571122e-11
-21.5,8.793457655630168e-12
-21.45,7.1368139347666604e-12
-21.4,5.787370333072322e-12
-21.349999999999998,4.6891098910845936e-12
-21.299999999999997,3.796049099935972e-12
-21.25,3.0704748229197715e-12
-21.2,2.4814847151778098e-12
-21.15,2.0037800477015294e-12
-21.099999999999998,1.6166682371083597e-12
-21.049999999999997,1.3032394348559851e-12
-21.0,1.0496874472577146e-12
-20.95,8.44750218114281e-13
-20.9,6.792492594358487e-13
-20.849999999999998,5.457108901490287e-13
-20.799999999999997,4.380550458906737e-13
-20.75,3.5133984635037277e-13
-20.7,2.815521273344902e-13
-20.65,2.254358279306983e-13
-20.599999999999998,1.8035152376620772e-13
-20.549999999999997,1.441615616110741e-13
-20.5,1.1513621736333502e-13
-20.45,9.187710143079543e-14
-20.4,7.325470010414268e-14
-20.349999999999998,5.835749167135723e-14
-20.299999999999997,4.645053098831068e-14
-20.25,3.6941772080112303e-14
-20.2,2.93547085393653e-14
-20.15,2.330616722326004e-14
-20.099999999999998,1.848830137700674e-14
-20.049999999999997,1.4654002607635427e-14
-20.0,1.1605093571030818e-14
-19.95,9.18278019251858e-15
-19.9,7.259938178958412e-15
-19.849999999999998,5.734887196580116e-15
-19.799999999999997,4.526370446351702e-15
-19.75,3.569510000729901e-15
-19.7,2.812551265440721e-15
-19.65,2.2142450251555895e-15
-19.599999999999998,1.7417441470814139e-15
-19.549999999999997,1.3689153248297262e-15
-19.5,1.0749852117636678e-15
-19.45,8.434557117011157e-16
-19.4,6.612357167226511e-16
-19.349999999999998,5.179467410878602e-16
-19.299999999999997,4.05368134556832e-16
-19.25,3.169942259224242e-16
-19.2,2.4768114112101356e-16
-19.15,1.9336539906325951e-16
-19.099999999999998,1.5083990743704017e-16
-19.049999999999997,1.175758192149517e-16
-19.0,9.158099793471529e-17
-18.95,7.128768133861525e-17
-18.9,5.5463414248650307e-17
-18.849999999999998,4.314051210800827e-17
-18.799999999999997,3.356027280916676e-17
-18.75,2.6128921951147568e-17
-18.7,2.0382892546750407e-17
-18.65,1.5961534423168586e-17
