radius,site_count,edge_coordinate,x_over_L,probability_over_max,gaussian_fit
56,6385,-24.0,-0.16354101277764496,0.014868824632593362,0.018806871129156737
56,6385,-22.0,-0.1456838699205021,0.0317556838383242,0.04340467725936945
56,6385,-20.0,-0.12782672706335926,0.0629083049115921,0.09095069073773165
56,6385,-18.0,-0.1099695842062164,0.11570273873614952,0.1730314152055742
56,6385,-16.0,-0.09211244134907355,0.1976583560884903,0.29887762651414257
56,6385,-14.0,-0.07425529849193069,0.3136107490884294,0.4687176841702396
56,6385,-12.0,-0.05639815563478784,0.46186734975829447,0.6673885639763213
56,6385,-10.0,-0.03854101277764498,0.630680446529481,0.8627712595443479
56,6385,-8.0,-0.020683869920502123,0.7971429674789743,1.0126562938434789
56,6385,-6.0,-0.0028267270633592673,0.9304620917874241,1.0791403977813778
56,6385,-4.0,0.01503041579378359,1.0,1.0441029501795391
56,6385,-2.0,0.03288755865092645,0.9858410372404286,0.9171876172488044
56,6385,0.0,0.050744701508069305,0.8873580628359091,0.7315138116128531
56,6385,2.0,0.06860184436521216,0.7251075801918886,0.5297077972127616
56,6385,4.0,0.08645898722235502,0.5342002685815519,0.34825686707486897
56,6385,6.0,0.10431613007949789,0.35183083596519454,0.20787990015386862
56,6385,8.0,0.12217327293664074,0.20502313714268885,0.11266131032342637
56,6385,10.0,0.14003041579378359,0.10436742720354603,0.055435323246788536
56,6385,12.0,0.15788755865092646,0.04567124408745961,0.024765543205730083
56,6385,14.0,0.1757447015080693,0.01682632109712383,0.010045200737647975
56,6385,16.0,0.19360184436521216,0.005073336510184088,0.0036992941803316703
56,6385,18.0,0.21145898722235504,0.0012008818618610845,0.0012368829596429616
56,6385,20.0,0.2293161300794979,0.000208364039630503,0.0003754808835782717
56,6385,22.0,0.24717327293664074,2.31041302930297e-05,0.00010348956076943237
56,6385,24.0,0.2650304157937836,1.1097780756537497e-06,2.589731527754966e-05
56,6385,26.0,0.28288755865092646,2.17145876385521e-08,5.8838613731042275e-06
56,6385,28.0,0.3007447015080693,3.3185239490287375e-08,1.2137230720858376e-06
56,6385,30.0,0.31860184436521216,8.21789136945479e-09,2.2731404546933894e-07
56,6385,32.0,0.336458987222355,6.381181109262684e-10,3.865293017939886e-08
56,6385,34.0,0.35431613007949786,6.949370626309184e-12,5.9674400008602705e-09
56,6385,36.0,0.37217327293664076,2.517847439389007e-12,8.364561674813959e-10
56,6385,38.0,0.3900304157937836,5.105617148046615e-13,1.0645052361831865e-10
56,6385,40.0,0.40788755865092646,1.605835241215e-14,1.229990916157338e-11
56,6385,42.0,0.4257447015080693,7.514707676390108e-16,1.2903439616480478e-12
56,6385,44.0,0.44360184436521216,1.0432253146208877e-16,1.2290189275047087e-13
56,6385,46.0,0.461458987222355,1.7832858759764705e-18,1.0628234706175244e-14
56,6385,48.0,0.47931613007949786,1.2865862474622583e-19,8.344747294664345e-16
56,6385,50.0,0.49717327293664076,2.822969250353379e-21,5.948599496975764e-17
56,6385,52.0,0.5150304157937836,6.603894441581072e-23,3.850044581169222e-18
56,6385,54.0,0.5328875586509264,6.926526899543877e-25,2.2623837591600054e-19
56,6385,56.0,0.5507447015080693,1.2313905067673749e-26,1.2070250359997477e-20
60,7321,-60.0,-0.4455422282973683,9.131877288030406e-15,1.4593479564141225e-14
60,7321,-58.0,-0.4288755616307016,9.505013059829868e-14,1.5201299230542174e-13
60,7321,-56.0,-0.41220889496403496,1.9886777465913812e-12,1.4481261333653539e-12
60,7321,-54.0,-0.3955422282973683,2.6322575884171844e-11,1.2616413180081442e-11
60,7321,-52.0,-0.37887556163070163,2.5739524823777375e-10,1.005238804993648e-10
60,7321,-50.0,-0.36220889496403497,2.0530318253602294e-09,7.324979546300914e-10
60,7321,-48.0,-0.3455422282973683,1.381142254983178e-08,4.881433944553738e-09
60,7321,-46.0,-0.32887556163070164,8.02478076516395e-08,2.9750361459696928e-08
60,7321,-44.0,-0.312208894964035,4.100255296655773e-07,1.6582152538124528e-07
60,7321,-42.0,-0.29554222829736826,1.8660362412515866e-06,8.452659886747275e-07
60,7321,-40.0,-0.2788755616307016,7.639373494412955e-06,3.940485305906145e-06
60,7321,-38.0,-0.26220889496403493,2.8356417944184667e-05,1.6800022355654188e-05
60,7321,-36.0,-0.2455422282973683,9.603950064485098e-05,6.550490728444354e-05
60,7321,-34.0,-0.2288755616307016,0.0002983292943904093,0.00023358322068861868
60,7321,-32.0,-0.21220889496403494,0.0008535504688390469,0.0007617514290467152
60,7321,-30.0,-0.19554222829736828,0.002257124444341877,0.0022718975455223904
60,7321,-28.0,-0.17887556163070162,0.005532215736058908,0.006196807944517806
60,7321,-26.0,-0.16220889496403496,0.012596196400021391,0.015457923719843173
60,7321,-24.0,-0.1455422282973683,0.026689267305321816,0.03526453102603268
60,7321,-22.0,-0.12887556163070163,0.05269267333607026,0.07357476689309518
60,7321,-20.0,-0.11220889496403495,0.09701767031122942,0.14038590509087842
60,7321,-18.0,-0.09554222829736829,0.16665839309964556,0.24497510200581188
60,7321,-16.0,-0.07887556163070161,0.26710896640155235,0.3909527005407488
60,7321,-14.0,-0.06220889496403496,0.3992662111932213,0.570598094478805
60,7321,-12.0,-0.045542228297368294,0.5561477408590718,0.7616233424032463
60,7321,-10.0,-0.028875561630701627,0.7209660103687107,0.9297239190973878
60,7321,-8.0,-0.01220889496403496,0.8682962319362271,1.0379384294291691
60,7321,-6.0,0.004457771702631707,0.9692797804010177,1.0597245827759925
60,7321,-4.0,0.021124438369298375,1.0,0.989505597518309
60,7321,-2.0,0.03779110503596504,0.9501015471045943,0.8449817537477949
60,7321,0.0,0.054457771702631705,0.8277006864281599,0.6599032027246821
60,7321,2.0,0.07112443836929838,0.657706469339389,0.4713211955033993
60,7321,4.0,0.08779110503596504,0.4736993330256735,0.3078630264612588
60,7321,6.0,0.10445777170263172,0.3068852556291109,0.18390855309616738
60,7321,8.0,0.12112443836929838,0.1771894124159006,0.10047318048997851
