geometry,real_energy,imaginary_energy
square,-0.19660283750368743,18.76132933865631
square,-0.13901372067903783,18.717739340977438
square,-0.008868557005074423,18.71379441459388
square,-0.050451926780557384,18.688456699290334
square,-0.07505884689072556,18.70128619265322
square,-0.07270321287784488,18.725753651525242
square,-0.0726920130528258,18.725771882455494
square,0.21378217635905683,-17.803970730539888
square,-0.34711625102794613,-17.813438206606314
square,0.11260599890020045,-18.389884171335105
square,-0.1520302264242211,-18.599867199447882
square,-0.10353836214037367,-18.561948209414457
square,-0.042182407064468234,-18.557158747869682
square,-0.21468485201049956,18.646653815800672
square,-0.07231487263078809,18.664880614002737
square,-0.07036425775881422,18.70167386630405
square,-0.09785898645720634,18.69018796395756
square,-0.07230075509044466,18.664899504498468
square,0.12038894079955834,-17.736877755539677
square,-0.25437746026482544,-18.396346506487728
square,-0.23394887895326905,-18.524970269543154
square,-0.07179468483233295,-18.542695143259113
square,-0.07142474702363781,-18.56127159273292
square,-0.07141267223154846,-18.56127179999001
square,0.09030647863202547,18.51919010248466
square,0.005598166700293951,18.59534757544532
square,-0.07256791979844689,18.615828007740273
square,-0.07121637364172823,18.615512188494012
square,-0.04542406094028649,-17.72601022394859
square,0.18676625726043333,-17.9606181309658
square,0.1608735956384212,-18.110544396207963
square,0.136141644247962,-18.253641270236493
square,-0.2986127518503643,-18.11846111898441
square,-0.16673417495492493,-18.47459917563784
square,0.02205187959393674,-18.46955973220908
square,-0.061306939107564504,-18.54050207964485
square,-0.0827715791828794,-18.540886155153057
square,0.21378217020258358,17.803970705125973
square,-0.34711625102755844,17.813438206606204
square,0.11260601147540843,18.38988418216114
square,-0.23394887895526092,18.524970269542653
square,-0.25437746026518904,18.39634650648789
square,-0.15203022644557365,18.5998671994686
square,-0.10353836191025506,18.56194820955802
square,-0.0421824055190749,18.55715874746806
square,-0.06501670475144797,-17.755209256144493
square,-0.0714014177963412,-18.499397471440087
square,-0.3223489897709132,-17.969312589537125
square,-0.06529387599422931,-17.77417798041153
square,-0.23533551508068967,-17.90472339706942
square,-0.07142474701618948,18.561271592811018
square,0.18676627647704838,17.960618136606147
square,0.13614164337879048,18.25364125245903
square,-0.1667341749466767,18.474599175639657
square,0.022051879333605803,18.469559732019796
square,-0.0717946851804809,18.542695143664965
square,-0.07141267234432608,18.561271799861043
square,-0.07140141762747239,18.49939747169547
square,-0.061306938909643026,18.540502079650267
square,-0.08277157905595033,18.540886155117853
square,0.03112135019291758,-17.850639940113567
square,0.09842496860995588,-17.896936030883502
square,-0.27594452401861425,-18.26082501814267
square,-0.03395746723418753,-18.43576796554451
square,-0.07071660092355786,-18.499447085308137
square,-0.10777124395380695,-17.82238314631411
square,-0.06580087955433754,-17.80788554913905
square,-0.07068985410108294,-18.449705566376185
square,-0.07059021056684502,-18.449745688220425
square,-0.06597935146189828,-17.80754310249965
square,0.16087358196567733,18.110544408541852
square,-0.2986127518505397,18.11846111898391
square,0.0393211353221436,-18.336511098332565
square,-0.11257521380964457,-18.439958002045856
square,-0.07071660109404235,18.499447085180247
square,0.07758533704356015,-18.050298456715023
square,-0.1821723682267521,-18.342267167783163
square,-0.19879669725085747,-18.20329258330605
square,-0.06480490506373461,-17.874063132396348
square,0.057788636478113956,-18.19690327444079
square,-0.01563768546433689,-18.299256238952033
square,-0.1278172477810158,-18.303638769727215
square,-0.04542406078693448,17.726010224395296
square,-0.08260914664949925,17.72627920966344
square,-0.32234898977110893,17.969312589537434
square,-0.2759445240188349,18.260825018143272
square,-0.033957467449399314,18.43576796481512
square,-0.23533551508040818,17.90472339706915
square,0.09842496851903666,17.896936030832865
square,0.031121350322337562,17.85063994195165
square,-0.06501670480440969,17.75520925614842
square,-0.06501321025514775,17.755233065828996
square,-0.11257521363833084,18.439958002091544
square,-0.07068985395557943,18.449705566694725
square,-0.07059021058046105,18.449745688309747
square,-0.07780728999428958,-18.382192719871224
square,-0.0681172339992863,-18.36813599978792
square,0.039321135761948706,18.336511098634176
square,-0.0652938759974306,17.774177980411814
square,-0.1821723682221268,18.34226716779991
square,-0.1077712439536514,17.822383146277595
square,-0.0658008795392427,17.807885549141368
square,-0.2165798865333226,-18.05738059736507
square,0.012810083947067848,-18.0072603288732
square,-0.15308943508978745,-18.013403748165018
square,-0.06788868393378922,-17.873625638863775
square,-0.06992575165942677,-18.32266781901638
square,-0.04824449703700243,-17.933685601012314
square,-0.0029403256267123176,-18.15434662486935
square,-0.06316117733188957,-18.379308229987764
square,-0.07171158892735854,-18.369046156046064
square,-0.08634151187677791,-17.93381563009692
square,-0.06934132413841688,-18.270584946391146
square,-0.06938030578696631,-18.318390601310536
square,-0.1987966972518293,18.20329258330692
square,-0.16889711089331566,17.85741405842691
square,-0.06597935110848208,17.807543102673797
square,0.07758533730954208,18.050298456871655
square,0.0577886360342857,18.19690327416511
square,-0.015637686186727756,18.299256240375524
square,-0.1278172478218202,18.30363876970928
square,-0.07780729062289965,18.382192720317416
