n_sites,mechanism,rate,eta_pilot_mean,pilot_samples
6,dephasing,6.812920690579611,0.7985025761329709,5
6,dephasing,7.742636826811269,0.7984059737204537,5
6,dephasing,8.79922543569107,0.7978208886380903,5
6,dephasing,10.0,0.7967300494685648,5
7,rescue,0.001,0.20743624005214337,5
7,rescue,0.0021544346900318843,0.2254049363618115,5
7,rescue,0.004641588833612777,0.2626785691000942,5
7,rescue,0.01,0.3367165106183795,5
7,rescue,0.021544346900318832,0.47083873367737106,5
7,rescue,0.046415888336127774,0.6712784369726188,5
7,rescue,0.1,0.8747452144914242,5
7,rescue,0.21544346900318823,0.9762968367961639,5
7,rescue,0.46415888336127775,0.9947857462511139,5
7,rescue,1.0,0.9974051374819934,5
7,rescue,2.154434690031882,0.9984995404621225,5
7,rescue,4.6415888336127775,0.999354338248472,5
7,rescue,5.274997063702617,0.9994794651695023,5
7,rescue,5.994842503189409,0.9995927679565376,5
7,rescue,6.812920690579611,0.9996912579578223,5
7,rescue,7.742636826811269,0.9997730261301255,5
7,rescue,8.79922543569107,0.999837693940702,5
7,rescue,10.0,0.9998864368229633,5
7,dephasing,0.001,0.19371852968021305,5
7,dephasing,0.0021544346900318843,0.19624275573931566,5
7,dephasing,0.004641588833612777,0.2016211571144832,5
7,dephasing,0.01,0.2129370054533865,5
7,dephasing,0.021544346900318832,0.2361165962161082,5
7,dephasing,0.046415888336127774,0.28103950870258654,5
7,dephasing,0.1,0.35905866461083946,5
7,dephasing,0.21544346900318823,0.47024563116798956,5
7,dephasing,0.46415888336127775,0.587877774206916,5
7,dephasing,1.0,0.676901205118799,5
7,dephasing,2.154434690031882,0.728200498796555,5
7,dephasing,4.6415888336127775,0.7511734536859989,5
7,dephasing,5.274997063702617,0.7529404610620036,5
7,dephasing,5.994842503189409,0.7541914714725484,5
7,dephasing,6.812920690579611,0.7549379583076845,5
7,dephasing,7.742636826811269,0.7551836682773859,5
7,dephasing,8.79922543569107,0.7549246711515618,5
7,dephasing,10.0,0.7541495690833416,5
8,rescue,0.001,0.17479072797154074,5
8,rescue,0.0021544346900318843,0.19369001780876993,5
8,rescue,0.004641588833612777,0.23288496103713924,5
8,rescue,0.01,0.3107000300899839,5
8,rescue,0.021544346900318832,0.4515082631851288,5
8,rescue,0.046415888336127774,0.6614135867883061,5
8,rescue,0.1,0.8732261954884777,5
8,rescue,0.21544346900318823,0.9773002826746089,5
8,rescue,0.46415888336127775,0.9953261488477313,5
8,rescue,1.0,0.9975419822789737,5
8,rescue,2.154434690031882,0.9984064837978617,5
8,rescue,4.6415888336127775,0.9992516986000707,5
8,rescue,5.274997063702617,0.9993890493964699,5
8,rescue,5.994842503189409,0.9995160801200254,5
8,rescue,6.812920690579611,0.9996287666675008,5
8,rescue,7.742636826811269,0.9997241944100234,5
8,rescue,8.79922543569107,0.9998011250625509,5
8,rescue,10.0,0.9998601495409704,5
8,dephasing,0.001,0.1601290146758759,5
8,dephasing,0.0021544346900318843,0.16251837710642764,5
8,dephasing,0.004641588833612777,0.1676082424139971,5
8,dephasing,0.01,0.1783121254096761,5
8,dephasing,0.021544346900318832,0.2002205567580942,5
8,dephasing,0.046415888336127774,0.2426387359770731,5
8,dephasing,0.1,0.316357856789305,5
8,dephasing,0.21544346900318823,0.42238218198986466,5
8,dephasing,0.46415888336127775,0.537952689061038,5
8,dephasing,1.0,0.6296974257126223,5
8,dephasing,2.154434690031882,0.6847188195323143,5
8,dephasing,4.6415888336127775,0.7101058030328311,5
8,dephasing,5.274997063702617,0.7121622234247995,5
8,dephasing,5.994842503189409,0.7136852261046501,5
8,dephasing,6.812920690579611,0.7146924006975539,5
8,dephasing,7.742636826811269,0.7151933676628023,5
8,dephasing,8.79922543569107,0.715189721938036,5
8,dephasing,10.0,0.7146752478382965,5
9,rescue,0.001,0.1601270943588446,5
9,rescue,0.0021544346900318843,0.17954624057102775,5
9,rescue,0.004641588833612777,0.21980821496654804,5
9,rescue,0.01,0.2996941806392853,5
9,rescue,0.021544346900318832,0.44406384966796236,5
9,rescue,0.046415888336127774,0.6586766705746537,5
9,rescue,0.1,0.8739094581084869,5
9,rescue,0.21544346900318823,0.97819580237855,5
9,rescue,0.46415888336127775,0.9956655192604466,5
9,rescue,1.0,0.9977050101875902,5
9,rescue,2.154434690031882,0.9984636722135176,5
9,rescue,4.6415888336127775,0.9992140535751008,5
9,rescue,5.274997063702617,0.9993452647175938,5
9,rescue,5.994842503189409,0.9994705011262746,5
9,rescue,6.812920690579611,0.9995853357946773,5
9,rescue,7.742636826811269,0.99968588925181,5
